,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100
145658,1,5,5,71,356,0,37
89370,3,294,4,71,557,0,37
89371,0,35,4,73,546,7,11
89372,0,3,4,12,719,0,13
89373,0,3,9,10,602,6,74
89374,2,4,4,10,198,9,9
89375,2,5,4,16,576,3,74
89376,2,6,4,12,673,6,40
89377,2,7,4,56,714,5,55
89378,2,7,5,85,966,6,40
89379,2,8,4,12,19,6,34
2224796,126,2264,4,62,236,9,40
103549,2,1,4,16,996,3,29
103548,0,1,4,16,996,3,29
103541,0,1,4,97,336,8,3
103540,0,11,9,73,845,1,35
103543,2,9,7,39,732,8,16
103542,2,9,4,5,353,9,34
103545,0,12,1,18,404,7,65
103544,0,1,4,21,742,4,62
103547,2,13,4,12,690,7,76
103546,0,12,4,83,690,7,76
88395,0,15,4,12,957,9,0
88394,0,58,4,63,936,9,67
88397,2,1,4,63,997,3,67
88396,0,16,0,37,479,5,26
88391,2,17,1,55,101,3,4
88390,2,18,0,19,765,5,15
88393,126,2264,4,12,198,6,52
88392,126,2264,4,22,946,4,45
88399,126,2264,4,76,694,1,70
88398,2,19,9,22,762,7,63
97159,2,20,4,12,162,6,76
97158,0,3,4,45,589,0,71
97153,0,22,4,76,50,6,55
97152,2,13,4,84,160,9,39
97151,0,12,2,9,796,3,18
97150,0,12,5,85,354,6,37
97157,2,13,5,24,124,1,93
97156,2,25,4,85,899,3,70
97155,2,25,4,72,536,7,36
97154,0,3,4,5,416,9,10
88023,2,26,4,97,65,0,3
88022,2,0,4,85,354,9,9
88021,2,22,4,12,162,6,11
88020,2,1,5,11,213,9,12
88027,1,1,4,0,346,9,66
88026,3,92,4,12,152,0,55
88025,0,1,4,62,454,3,44
88024,2,13,4,12,694,1,89
88029,2,27,4,89,321,0,39
88028,3,810,4,74,928,9,40
100016,3,28,4,12,673,9,40
100017,3,28,4,12,385,9,44
100014,2,29,4,84,160,7,5
100015,0,3,4,31,823,2,3
100012,0,1,4,12,162,6,7
100013,0,21,5,44,60,9,98
100010,1,1,4,12,265,1,89
100011,0,10,4,21,511,5,62
100018,1,30,4,12,806,7,11
100019,3,31,4,89,575,6,39
95799,0,33,5,36,193,2,29
95798,2,34,4,76,187,3,28
95797,1,3,4,89,386,9,39
95796,0,3,4,12,123,7,91
95793,0,35,9,6,483,7,63
95792,0,36,4,84,928,9,96
95791,126,2264,5,44,352,9,9
95790,0,12,4,12,162,6,32
90310,126,2264,4,85,547,6,76
90311,1,5,4,8,140,9,61
90312,2,42,4,50,394,2,95
90313,2,43,3,96,14,9,9
90314,2,9,4,97,710,1,41
90315,3,28,4,85,652,3,29
90316,2,40,4,62,454,1,99
90317,2,44,4,97,318,5,3
90318,126,2264,0,94,863,5,26
90319,2,45,1,55,911,7,4
94541,126,2264,4,32,287,1,41
94540,126,2264,4,1,944,7,11
94543,0,46,4,68,422,6,54
94542,2,1,9,82,493,1,19
94545,2,3,4,0,460,6,40
94544,2,7,4,90,289,9,61
94547,0,3,4,76,187,7,63
94546,2,1,9,6,398,7,76
94549,0,47,0,94,146,5,33
94548,0,48,4,12,99,6,40
2784695,1,1,5,11,625,6,40
97024,2,1,4,30,644,2,0
2784697,1,1,4,10,576,3,74
97939,2,808,4,63,386,3,67
97938,0,35,9,77,366,7,35
97931,0,3,4,1,466,7,11
97930,2,183,1,55,101,3,4
97933,2,184,4,1,152,0,36
97932,0,1,4,46,920,3,59
97935,0,185,5,11,625,9,60
97934,2,29,9,82,296,3,44
97937,0,49,4,12,212,6,82
97936,0,1,1,55,502,7,65
92262,2,139,4,19,652,3,53
92263,2,122,9,58,191,2,74
92260,2,53,4,89,558,6,39
92261,2,104,4,12,174,7,11
92266,3,54,4,12,414,0,60
92267,3,55,5,11,307,6,98
92264,2,198,5,23,93,3,44
92265,2,130,0,15,16,0,32
92268,3,2000,7,39,732,8,16
92269,0,12,4,75,962,0,42
111548,126,2264,4,12,162,6,42
111549,1,5,5,44,352,9,87
111542,1,2,4,54,718,0,60
111543,1,5,4,98,139,0,42
111540,1,1,4,10,406,4,22
111541,1,2,4,2,683,5,47
111546,1,2,4,76,119,6,39
111547,1,5,7,62,429,9,99
111544,1,3,4,84,160,7,5
111545,1,2,4,1,234,7,11
