,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000
145658,1,5,7,48,387,4,81,420
89370,3,294,7,42,117,4,20,625
89371,0,35,3,13,990,2,69,224
89372,0,3,7,74,4,7,23,994
89373,0,3,7,24,706,0,73,75
89374,2,4,8,82,449,0,87,678
89375,2,5,4,61,488,6,7,240
89376,2,6,2,85,670,7,10,752
89377,2,7,0,6,408,2,55,779
89378,2,7,9,85,920,7,67,619
89379,2,8,9,73,673,4,21,657
2224796,126,2264,9,47,134,7,30,537
103549,2,1,4,83,318,6,90,603
103548,0,1,4,83,130,6,90,968
103541,0,1,9,92,366,8,30,17
103540,0,11,8,87,175,0,50,741
103543,2,9,9,0,950,4,36,835
103542,2,9,9,14,950,4,20,283
103545,0,12,0,19,644,3,28,785
103544,0,1,1,91,970,8,44,810
103547,2,13,7,6,909,2,24,62
103546,0,12,7,6,909,2,24,62
88395,0,15,0,41,946,7,67,718
88394,0,58,9,41,946,7,55,556
88397,2,1,9,41,946,7,10,556
88396,0,16,9,72,579,6,89,6
88391,2,17,7,74,748,7,23,372
88390,2,18,7,6,889,2,57,770
88393,126,2264,7,6,909,2,24,62
88392,126,2264,4,12,355,6,40,289
88399,126,2264,9,14,690,0,20,109
88398,2,19,4,72,230,6,98,343
97159,2,20,9,14,953,7,10,579
97158,0,3,9,95,358,4,59,796
97153,0,22,9,14,37,7,20,509
97152,2,13,5,45,134,7,30,749
97151,0,12,9,27,402,7,62,639
97150,0,12,5,37,667,7,45,93
97157,2,13,7,48,543,7,81,394
97156,2,25,9,93,174,0,61,469
97155,2,25,3,6,308,2,57,222
97154,0,3,7,0,764,4,36,473
88023,2,26,9,64,903,4,59,978
88022,2,0,8,82,124,0,87,564
88021,2,22,5,23,411,6,54,505
88020,2,1,7,48,92,4,81,117
88027,1,1,9,14,37,4,20,54
88026,3,92,9,14,37,7,20,509
88025,0,1,9,14,145,1,20,128
88024,2,13,7,74,216,7,23,3
88029,2,27,9,56,511,8,30,285
88028,3,810,9,14,37,4,20,509
100016,3,28,5,37,134,7,45,362
100017,3,28,5,37,134,7,45,537
100014,2,29,9,47,654,7,30,104
100015,0,3,0,73,140,9,21,824
100012,0,1,0,14,277,8,20,120
100013,0,21,2,48,949,4,81,827
100010,1,1,7,6,198,7,57,704
100011,0,10,1,91,675,8,44,480
100018,1,30,7,14,845,2,20,501
100019,3,31,9,56,77,8,13,903
95799,0,33,1,31,700,8,13,489
95798,2,34,9,14,387,7,20,420
95797,1,3,9,47,77,7,51,554
95796,0,3,9,47,746,8,30,903
95793,0,35,8,82,791,0,87,730
95792,0,36,9,47,769,7,30,639
95791,126,2264,9,48,326,4,81,117
95790,0,12,9,14,561,1,20,509
90310,126,2264,9,47,569,4,30,125
90311,1,5,9,14,245,7,30,116
90312,2,42,9,47,3,7,30,6
90313,2,43,7,55,154,7,10,116
90314,2,9,3,64,569,2,59,91
90315,3,28,9,82,275,1,20,137
90316,2,40,7,6,626,7,57,91
90317,2,44,9,99,652,7,55,634
90318,126,2264,4,72,579,6,98,721
90319,2,45,9,47,654,7,30,104
94541,126,2264,7,74,659,7,23,344
94540,126,2264,3,58,104,2,18,412
94543,0,46,9,43,76,8,48,371
94542,2,1,4,71,674,0,95,297
94545,2,3,2,5,656,4,31,2
94544,2,7,5,55,895,7,80,205
94547,0,3,1,7,817,0,76,994
94546,2,1,9,63,911,0,50,707
94549,0,47,9,8,119,4,89,702
94548,0,48,2,86,481,4,31,758
2784695,1,1,2,69,478,4,31,376
97024,2,1,9,14,4,7,20,496
2784697,1,1,4,12,347,6,40,892
97939,2,808,9,47,654,7,30,509
97938,0,35,4,36,674,6,95,297
97931,0,3,3,88,942,2,18,288
97930,2,183,9,14,746,2,30,903
97933,2,184,3,58,938,2,42,424
97932,0,1,4,72,284,6,98,147
97935,0,185,5,42,753,7,54,505
97934,2,29,5,27,864,7,75,46
97937,0,49,9,26,772,1,22,423
97936,0,1,3,6,842,2,24,181
92262,2,139,3,6,44,2,57,134
92263,2,122,4,52,286,6,98,14
92260,2,53,9,56,77,8,51,146
92261,2,104,3,58,288,2,42,424
92266,3,54,7,11,742,4,34,339
92267,3,55,7,68,41,1,93,548
92264,2,198,9,14,769,7,20,509
92265,2,130,7,74,677,4,20,133
92268,3,2000,9,47,746,8,30,509
92269,0,12,7,11,742,4,34,683
