,km,mod,wt
145658,12,1,5
89370,12,3,294
89371,9,0,35
89372,12,0,3
89373,20,0,3
89374,2,2,4
89375,16,2,5
89376,25,2,6
89377,22,2,7
89378,14,2,7
89379,14,2,8
2224796,24,126,2264
103549,8,2,1
103548,8,0,1
103541,14,0,1
103540,2,0,11
103543,12,2,9
103542,14,2,9
103545,7,0,12
103544,4,0,1
103547,22,2,13
103546,22,0,12
88395,1,0,15
88394,14,0,58
88397,14,2,1
88396,10,0,16
88391,28,2,17
88390,22,2,18
88393,22,126,2264
88392,16,126,2264
88399,14,126,2264
88398,10,2,19
97159,25,2,20
97158,12,0,3
97153,14,0,22
97152,14,2,13
97151,24,0,12
97150,26,0,12
97157,12,2,13
97156,20,2,25
97155,22,2,25
97154,12,0,3
88023,3,2,26
88022,2,2,0
88021,26,2,22
88020,12,2,1
88027,22,1,1
88026,14,3,92
88025,14,0,1
88024,12,2,13
88029,14,2,27
88028,14,3,810
100016,24,3,28
100017,24,3,28
100014,14,2,29
100015,1,0,3
100012,28,0,1
100013,12,0,21
100010,22,1,1
100011,4,0,10
100018,12,1,30
100019,14,3,31
95799,4,0,33
95798,27,2,34
95797,14,1,3
95796,14,0,3
95793,2,0,35
95792,14,0,36
95791,12,126,2264
95790,14,0,12
90310,14,126,2264
90311,14,1,5
90312,14,2,42
90313,25,2,43
90314,9,2,9
90315,2,3,28
90316,22,2,40
90317,3,2,44
90318,10,126,2264
90319,14,2,45
94541,12,126,2264
94540,9,126,2264
94543,14,0,46
94542,10,2,1
94545,18,2,3
94544,24,2,7
94547,17,0,3
94546,2,2,1
94549,12,0,47
94548,18,0,48
2784695,18,1,1
97024,27,2,1
2784697,16,1,1
97939,14,2,808
97938,10,0,35
97931,9,0,3
97930,14,2,183
97933,9,2,184
97932,16,0,1
97935,26,0,185
97934,24,2,29
97937,29,0,49
97936,22,0,1
92262,22,2,139
92263,10,2,122
92260,14,2,53
92261,22,2,104
92266,11,3,54
92267,17,3,55
92264,14,2,198
92265,12,2,130
92268,14,3,2000
92269,11,0,12
111548,28,126,2264
111549,12,1,5
111542,11,1,2
111543,11,1,5
111540,7,1,1
111541,6,1,2
111546,14,1,2
111547,12,1,5
111544,14,1,3
111545,9,1,2
107899,24,126,2264
107898,14,1,5
107893,3,1,2
107892,2,1,2
107890,22,1,2
107897,14,1,59
107896,8,1,59
107895,14,2,30
107894,12,126,2264
92886,24,0,60
92887,1,2,13
92884,14,2,61
92885,15,2,7
92882,22,3,62
92883,14,2,63
92880,8,2,9
92881,25,0,2
85753,12,126,2264
92888,4,3,64
92889,2,2,65
93139,14,2,66
93138,28,126,2264
104278,14,2,44
104279,14,2,67
93135,12,2,13
93134,12,2,57
93137,2,1,1
104275,17,2,1
93131,22,2,9
93130,15,2,13
93133,12,126,2264
93132,27,1,2
98109,14,0,12
98108,26,0,69
98105,2,0,36
98107,11,0,12
98106,10,0,69
98101,2,0,52
98100,26,0,36
98103,4,0,70
98102,27,2,1
99858,8,3,1
99859,2,3,1
99850,12,0,1
99851,20,0,3
99852,14,0,50
99853,10,2,14
99854,14,0,72
99855,14,1,2
99856,14,0,52
99857,12,0,3
105639,14,2,5
105638,29,1,5
105631,14,1,12
105630,14,0,12
105633,14,2,8
105632,14,0,74
105635,27,1,1
105634,26,3,2
105637,12,1,75
105636,28,2,67
102946,14,2,76
102947,12,2,1
102945,28,1,2
102948,14,0,12
102949,14,0,35
102366,14,3,1
102367,10,2,79
102364,27,2,80
102365,16,2,81
102363,22,2,14
102360,29,0,82
102368,14,0,22
102369,4,0,3
107703,18,0,36
107702,14,0,36
107701,10,1,5
107707,14,1,5
107706,12,1,5
107705,14,1,5
107704,12,2,68
107709,11,1,5
107708,14,126,2264
91950,10,0,21
112239,12,1,83
112230,9,2,1
811779,14,0,1
108104,26,1,5
108107,14,2,67
108100,24,1,5
108102,10,1,1
108103,14,2,21
109855,12,1,5
109857,12,0,36
109856,14,0,84
109859,14,2,1
109858,14,2,13
100131,12,0,33
100130,8,0,3
100133,12,2,13
100132,14,1,3
100135,19,0,1809
100134,16,2,13
103706,14,2,88
103705,14,1,5
103704,12,2,1
103703,12,2,30
103702,3,1,2
103701,12,1,5
103700,12,0,21
100136,14,0,1
103709,22,2,89
103708,14,1,2
111955,14,2,1
111954,14,1,5
111957,14,1,2
91219,26,2,13
111951,14,1,5
111950,8,1,5
111953,8,1,5
111952,14,1,5
91212,26,8,326
91213,24,2,69
91210,12,2,187
91211,14,126,2264
111959,12,1,83
111958,25,1,3
91214,6,15,32
91215,6,2,14
145770,14,1,2
145771,14,2,327
145772,14,2,2
145773,24,1,2
145774,12,1,5
145775,12,1,2
145776,11,1,5
101942,29,0,661
145778,9,0,10
101941,10,2,1483
101701,12,2,1
101700,9,126,2264
101703,11,0,12
101702,8,2,7
101705,18,2,7
101704,2,0,52
101707,10,0,35
101706,24,0,3
101709,14,0,12
101708,14,2,79
101946,14,0,12
87901,20,126,2264
87900,16,2,336
87903,12,2,13
87902,12,126,2264
109271,14,1,5
109270,3,1,2
87907,21,2,613
109272,25,2,1
87909,29,0,52
87908,12,2,7
101944,4,2,128
107286,14,2,1
107287,14,1,2
107284,9,126,2264
107285,14,2,13
