,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000
89375,0,0,0,0,0,4
97159,0,0,0,0,0,4
88022,0,0,0,0,0,4
100010,0,0,0,0,0,4
94541,0,0,0,0,0,4
97935,0,0,0,0,0,4
109857,0,0,0,0,0,4
103709,0,0,0,0,0,4
92749,0,0,0,0,0,4
85677,0,0,0,0,0,4
87299,0,0,0,0,0,4
89494,0,0,0,0,0,4
90872,0,0,0,0,0,4
90121,0,0,0,0,0,4
90126,9,71,72,4,50,46
95186,0,0,0,0,0,4
91348,0,0,0,0,0,4
110514,0,0,0,0,0,4
112040,0,0,0,0,0,4
99952,0,0,0,0,0,4
105404,0,0,0,0,0,4
102752,0,0,0,0,0,4
102759,0,0,0,0,0,4
109665,0,0,0,0,0,4
111003,0,0,0,0,0,4
111007,0,0,0,0,0,4
88881,0,0,0,0,0,4
112648,0,0,0,0,0,4
104828,0,0,0,0,0,4
107039,0,0,0,0,0,4
92391,0,0,0,0,0,4
90588,0,0,0,0,0,4
105302,0,0,0,0,0,4
84754,0,0,0,0,0,4
86448,0,0,0,0,0,4
89043,0,0,0,0,0,4
88861,0,0,0,0,0,4
90395,0,0,0,0,0,4
89527,0,0,0,0,0,4
100857,0,0,0,0,0,4
90986,0,0,0,0,0,4
108637,0,0,0,0,0,4
858086,6,14,6,6,17,19
105924,0,0,0,0,0,4
98226,0,0,0,0,0,4
95459,0,0,0,0,0,4
94466,0,0,0,0,0,4
91217,0,0,0,0,0,4
111462,0,0,0,0,0,4
110598,0,0,0,0,0,4
112733,0,0,0,0,0,4
104422,0,0,0,0,0,4
102868,0,0,0,0,0,4
102136,0,0,0,0,0,4
109046,0,0,0,0,0,4
109045,0,0,0,0,0,4
92661,0,0,0,0,0,4
87004,0,0,0,0,0,4
86752,0,0,0,0,0,4
89172,0,0,0,0,0,4
89173,0,0,0,0,0,4
89171,0,0,0,0,0,4
94208,0,0,0,0,0,4
121145,0,0,0,0,0,4
94781,0,0,0,0,0,4
89815,5,8,7,9,8,8
97846,0,0,0,0,0,4
104380,0,0,0,0,0,4
104861,0,0,0,0,0,4
94812,0,0,0,0,0,4
94810,9,48,44,2,46,44
87631,0,0,0,0,0,4
90904,0,0,0,0,0,4
107079,0,0,0,0,0,4
92535,0,0,0,0,0,4
99415,0,0,0,0,0,4
