,mod,wt,km_10,km_100,gmm_10,gmm_100
145658,1,5,3,48,8,71
89370,3,294,3,61,8,86
89371,0,35,9,41,9,7
89372,0,3,4,44,1,8
89373,0,3,0,54,3,36
89374,2,4,0,3,3,69
89375,2,5,2,95,1,23
89376,2,6,2,36,1,2
89377,2,7,7,60,6,58
89378,2,7,2,76,1,97
89379,2,8,2,36,1,2
2224796,126,2264,2,76,1,97
103549,2,1,0,65,3,49
103548,0,1,3,0,3,83
103541,0,1,2,36,1,2
103540,0,11,0,22,3,69
103543,2,9,2,96,1,28
103542,2,9,2,49,1,2
103545,0,12,7,59,1,9
103544,0,1,1,6,0,51
103547,2,13,3,0,8,83
103546,0,12,6,0,8,83
88395,0,15,3,21,1,25
88394,0,58,2,21,1,25
88397,2,1,2,83,1,0
88396,0,16,2,36,1,2
88391,2,17,2,87,0,46
88390,2,18,6,39,0,47
88393,126,2264,6,9,8,47
88392,126,2264,3,18,8,1
88399,126,2264,2,42,1,73
88398,2,19,3,89,8,56
97159,2,20,2,76,1,97
97158,0,3,2,49,1,44
97153,0,22,2,75,1,26
97152,2,13,2,36,1,2
97151,0,12,2,57,1,38
97150,0,12,0,12,3,69
97157,2,13,3,83,3,0
97156,2,25,0,40,3,38
97155,2,25,2,75,9,26
97154,0,3,3,63,8,84
88023,2,26,3,23,1,86
88022,2,0,0,3,3,69
88021,2,22,3,61,8,86
88020,2,1,3,45,8,45
88027,1,1,2,36,1,2
88026,3,92,2,76,1,97
88025,0,1,2,89,1,46
88024,2,13,2,63,1,64
88029,2,27,2,36,1,87
88028,3,810,2,36,1,87
100016,3,28,2,76,1,97
100017,3,28,2,76,1,97
100014,2,29,2,36,1,2
100015,0,3,3,61,8,86
100012,0,1,8,8,5,85
100013,0,21,8,45,3,45
100010,1,1,3,47,5,12
100011,0,10,1,67,0,51
100018,1,30,2,75,1,26
100019,3,31,2,1,1,87
95799,0,33,4,35,7,48
95798,2,34,2,49,1,44
95797,1,3,0,40,3,38
95796,0,3,2,75,1,87
95793,0,35,0,22,3,38
95792,0,36,2,89,1,44
95791,126,2264,3,45,8,45
95790,0,12,2,36,1,2
90310,126,2264,2,75,1,26
90311,1,5,2,76,1,97
90312,2,42,2,15,1,2
90313,2,43,4,35,1,8
90314,2,9,9,75,1,26
90315,3,28,0,29,3,38
90316,2,40,2,49,1,44
90317,2,44,2,49,1,44
90318,126,2264,2,84,1,46
90319,2,45,2,36,3,2
94541,126,2264,3,18,8,84
94540,126,2264,9,41,9,93
94543,0,46,1,62,0,16
94542,2,1,0,46,3,91
94545,2,3,3,1,8,86
94544,2,7,3,40,3,38
94547,0,3,4,44,1,8
94546,2,1,6,22,1,14
94549,0,47,2,84,1,86
94548,0,48,2,23,1,18
2784695,1,1,3,45,8,45
97024,2,1,2,15,1,49
2784697,1,1,3,18,0,84
97939,2,808,2,15,3,64
97938,0,35,2,49,1,44
97931,0,3,9,41,9,93
97930,2,183,2,75,1,26
97933,2,184,9,75,9,26
97932,0,1,3,73,1,40
97935,0,185,3,92,8,61
97934,2,29,2,46,1,91
97937,0,49,2,84,1,46
97936,0,1,9,11,9,7
92262,2,139,9,39,9,53
92263,2,122,2,89,1,31
92260,2,53,2,66,1,6
92261,2,104,9,39,9,53
92266,3,54,3,48,8,71
92267,3,55,4,98,7,37
92264,2,198,2,17,1,46
92265,2,130,2,44,1,8
92268,3,2000,2,36,1,2
92269,0,12,3,82,8,35
111548,126,2264,1,6,0,51
111549,1,5,4,45,3,37
111542,1,2,2,43,3,5
111543,1,5,3,82,8,35
111540,1,1,3,96,6,28
111541,1,2,8,31,4,90
111546,1,2,2,84,1,46
111547,1,5,4,44,1,8
111544,1,3,2,36,1,2
111545,1,2,9,41,9,7
107899,126,2264,4,68,1,13
107898,1,5,2,15,1,2
107893,1,2,2,89,1,87
107892,1,2,2,40,1,38
107890,1,2,9,75,1,26
107897,1,59,2,96,1,28
107896,1,59,3,63,1,64
107895,2,30,2,15,1,87
107894,126,2264,4,44,7,8
92886,0,60,2,76,1,97
92887,2,13,3,68,8,24
92884,2,61,2,36,1,2
92885,2,7,9,75,9,26
92882,3,62,2,17,8,44
92883,2,63,2,36,0,2
92880,2,9,2,61,1,86
92881,0,2,2,89,1,87
