,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
145658,5,71,356,0,37,807,1,86,74
89370,4,71,557,0,37,145,1,61,267
89371,4,73,546,7,11,560,1,85,144
89372,4,12,719,0,13,523,1,1,814
89373,9,10,602,6,74,681,1,47,79
89374,4,10,198,9,9,270,1,47,658
89375,4,16,576,3,74,137,1,2,811
89376,4,12,673,6,40,498,3,29,221
89377,4,56,714,5,55,598,1,1,875
89378,5,85,966,6,40,925,1,22,114
89379,4,12,19,6,34,448,3,29,59
2224796,4,62,236,9,40,146,3,29,59
103549,4,16,996,3,29,686,1,46,136
103548,4,16,996,3,29,272,1,2,970
103541,4,97,336,8,3,374,3,29,629
103540,9,73,845,1,35,601,3,29,391
103543,7,39,732,8,16,301,1,38,360
103542,4,5,353,9,34,221,3,29,23
103545,1,18,404,7,65,14,1,1,381
103544,4,21,742,4,62,689,1,33,884
103547,4,12,690,7,76,715,1,0,166
103546,4,83,690,7,76,715,1,0,166
88395,4,12,957,9,0,696,3,29,443
88394,4,63,936,9,67,780,1,47,502
88397,4,63,997,3,67,615,2,27,578
88396,0,37,479,5,26,247,1,24,547
88391,1,55,101,3,4,717,1,1,556
88390,0,19,765,5,15,799,1,45,938
88393,4,12,198,6,52,529,1,14,8
88392,4,22,946,4,45,916,1,75,249
88399,4,76,694,1,70,188,1,90,34
88398,9,22,762,7,63,699,1,16,367
97159,4,12,162,6,76,507,3,29,165
97158,4,45,589,0,71,391,5,51,359
97153,4,76,50,6,55,500,2,27,567
97152,4,84,160,9,39,118,3,36,75
97151,2,9,796,3,18,739,3,29,311
97150,5,85,354,6,37,925,1,47,79
97157,5,24,124,1,93,846,1,6,310
97156,4,85,899,3,70,618,3,29,411
97155,4,72,536,7,36,832,1,59,134
97154,4,5,416,9,10,690,1,39,19
88023,4,97,65,0,3,217,1,40,655
88022,4,85,354,9,9,925,1,14,171
88021,4,12,162,6,11,507,1,1,275
88020,5,11,213,9,12,836,2,52,479
88027,4,0,346,9,66,260,1,90,34
88026,4,12,152,0,55,906,1,47,502
