,nmi_score,ami_score,mi_score,ar_score,cs_score,fm_score,hs_score,vm_score
mod vs. wt,0.38496032446,0.184582090738,1.00160314488,0.0884315746812,0.222526855831,0.233443074147,0.665962096372,0.33358760633
km_10 vs. km_100,0.350263740764,0.171114596647,0.688405072829,0.0525229646572,0.174561090035,0.248108330643,0.702818068273,0.279661733316
km_10 vs. km_1000,0.328390124135,0.113585812233,0.817500056962,0.00435092932606,0.12920922695,0.0712771225889,0.83461588754,0.223775189105
km_10 vs. gmm_10,0.121035703554,0.0794085884946,0.179337282594,0.0214058109927,0.0800124478534,0.27507478489,0.1830920304,0.111359879786
km_10 vs. gmm_100,0.214775222542,0.0981514596106,0.444686165387,0.00874894106288,0.101605187376,0.119330166155,0.453996468185,0.166048447683
km_10 vs. gmm_1000,0.321603222374,0.110127736713,0.805416863707,0.00293338924866,0.125782785667,0.059121159553,0.822279710953,0.218189482254
km_10 vs. hc_10,0.0313790539209,0.0215626270339,0.0225909715828,0.0198494784494,0.0426919434676,0.677536341827,0.0230639541092,0.0299484931772
km_10 vs. hc_100,0.115353321058,0.05376969335,0.225694107548,0.0132550727041,0.057748555899,0.189165181443,0.230419418665,0.0923516133195
km_10 vs. hc_1000,0.161462789169,0.045515110264,0.406987169075,0.00105140535995,0.0627430067767,0.0432453116655,0.415508175739,0.109023179615
km_100 vs. km_1000,0.659489918132,0.442556406044,3.29422759484,0.101925348628,0.520666142226,0.206206886412,0.835327894106,0.64148800137
km_100 vs. gmm_10,0.294986336768,0.219138648558,0.877014397351,0.0769289588518,0.391285446727,0.149273765432,0.222387363516,0.283593919846
km_100 vs. gmm_100,0.46313524975,0.415496347491,1.92408836724,0.0887918414875,0.439629955456,0.121933400356,0.487897280198,0.462507733068
km_100 vs. gmm_1000,0.631092059242,0.412627441703,3.17132520337,0.054259592945,0.495269141125,0.12802258884,0.804163139123,0.613001836713
km_100 vs. hc_10,0.103808400259,0.0341202080002,0.149959954022,0.00278802104948,0.283391170496,0.184896042446,0.0380258282061,0.0670542255569
km_100 vs. hc_100,0.297964448763,0.264594639779,1.16977491605,0.0540041721331,0.299311368217,0.0964328749502,0.296623590529,0.297961418184
km_100 vs. hc_1000,0.389251575306,0.185431106593,1.96873101192,0.0176124640706,0.303508593411,0.0493277323654,0.499217459298,0.377505597
km_1000 vs. gmm_10,0.355358535589,0.189860559057,1.33819806348,0.0190583152349,0.597045417564,0.0768916558474,0.211507676135,0.312359670132
km_1000 vs. gmm_100,0.518662927635,0.322197403843,2.72929957439,0.0733234210629,0.623610573583,0.103742252455,0.431376958472,0.509979927401
km_1000 vs. gmm_1000,0.794215445922,0.644230914369,5.05516360527,0.297301114933,0.789470135188,0.302499956196,0.79898927955,0.79420118473
km_1000 vs. hc_10,0.127350586843,0.0228211384172,0.233019665292,0.000534060527043,0.440355667794,0.054371729306,0.0368297109709,0.0679743038701
km_1000 vs. hc_100,0.389827957785,0.192347256293,1.9384725726,0.0161948916048,0.495998734453,0.0463797523543,0.306383516964,0.378786635429
km_1000 vs. hc_1000,0.550982099309,0.221608152514,3.52973674781,0.0566927192869,0.544160390096,0.0602281971394,0.557889326905,0.550939343436
gmm_10 vs. gmm_100,0.370575529205,0.262458282806,1.16065225613,0.109370193775,0.265194420565,0.205308588702,0.517832247575,0.35075746059
gmm_10 vs. gmm_1000,0.353786472308,0.18782336313,1.34028603219,0.0160824553253,0.209313857602,0.0727648020931,0.597976977839,0.31008618578
gmm_10 vs. hc_10,0.0705454737016,0.0336377296566,0.0768281117965,0.00592970561813,0.145188151537,0.30629254079,0.0342773415537,0.0554609554636
gmm_10 vs. hc_100,0.221523756502,0.164252596385,0.655641397472,0.043944210123,0.167759558736,0.118888749785,0.292518501267,0.213230996473
gmm_10 vs. hc_1000,0.282259072036,0.142899431464,1.07624740784,0.00995480506707,0.165919231697,0.0521080097462,0.480174497746,0.246621132866
gmm_100 vs. gmm_1000,0.529634362557,0.329441356341,2.80378545108,0.0858660626265,0.437870077398,0.131860471236,0.640629658157,0.520190313921
gmm_100 vs. hc_10,0.107269110315,0.033631837708,0.163244304922,0.00235074932685,0.308495657726,0.118685097044,0.037299267395,0.0665519427371
gmm_100 vs. hc_100,0.310817335611,0.263208698345,1.28547503879,0.0443044889381,0.328915663509,0.0784187125099,0.293714854092,0.310320208808
gmm_100 vs. hc_1000,0.428731443541,0.222156184882,2.28434607787,0.0384621354522,0.352165258109,0.0641210307648,0.52194430441,0.420566616732
gmm_1000 vs. hc_10,0.129434797804,0.023172648583,0.238256795523,0.000423831901818,0.450252686474,0.0471153609315,0.0372088104873,0.0687371904729
gmm_1000 vs. hc_100,0.394099865826,0.193511321217,1.97149458268,0.0147457595987,0.504448106108,0.0460663184685,0.307890350589,0.382389145714
gmm_1000 vs. hc_1000,0.556923671092,0.226107661245,3.58924519289,0.0602328982938,0.553334484654,0.0624005699954,0.560536138672,0.556912030763
hc_10 vs. hc_100,0.367963673334,0.131841520254,0.529162407422,0.0261483820203,0.135397264894,0.249020405538,1.0,0.238502009966
hc_10 vs. hc_1000,0.285618804213,0.0677794690938,0.529162407422,0.00108866190704,0.0815781013203,0.051732231691,1.0,0.15085013504
hc_100 vs. hc_1000,0.776214678001,0.534470467459,3.9082208037,0.0789771935682,0.602509226345,0.207742942106,1.0,0.751957263571
