,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
145658,1,5,0,1,224,3,54,392,1,50,157
89370,3,294,0,68,569,3,95,830,1,50,157
89371,0,35,9,85,886,8,47,711,2,94,697
89372,0,3,0,70,242,3,40,443,1,37,193
89373,0,3,0,22,897,0,64,213,1,65,84
89374,2,4,6,48,803,4,9,793,2,94,817
89375,2,5,5,17,260,9,56,260,3,48,999
89376,2,6,2,96,566,4,37,736,5,88,845
89377,2,7,0,60,677,8,71,375,1,20,146
89378,2,7,1,23,891,3,37,517,5,15,116
89379,2,8,1,30,61,3,93,462,0,56,868
2224796,126,2264,1,99,653,4,17,773,4,7,816
103549,2,1,5,40,715,9,1,401,7,4,605
103548,0,1,5,38,715,9,1,946,7,4,605
103541,0,1,1,37,205,2,87,146,0,18,294
103540,0,11,6,45,92,4,41,779,3,33,892
103543,2,9,1,80,847,3,67,652,0,21,179
103542,2,9,1,79,724,3,59,652,0,21,179
103545,0,12,7,7,494,6,52,875,1,50,207
103544,0,1,3,13,298,7,11,591,9,64,249
103547,2,13,0,60,148,8,71,872,1,14,247
103546,0,12,0,60,148,8,71,872,1,14,247
88395,0,15,7,59,331,4,63,470,0,11,775
88394,0,58,1,59,331,4,63,729,0,11,111
88397,2,1,1,59,331,4,63,729,0,11,111
88396,0,16,1,56,135,9,18,764,1,63,417
88391,2,17,0,70,3,4,49,402,0,46,387
88390,2,18,0,65,711,8,71,924,1,66,79
88393,126,2264,0,60,148,8,71,872,1,14,247
88392,126,2264,5,31,356,9,31,483,7,5,200
88399,126,2264,1,39,693,4,89,937,7,75,392
88398,2,19,5,32,480,9,29,19,7,5,431
97159,2,20,1,96,925,4,19,982,4,67,48
97158,0,3,1,77,156,3,73,999,1,1,810
97153,0,22,1,79,451,4,87,443,1,37,218
97152,2,13,4,37,976,4,17,773,4,7,414
97151,0,12,1,92,125,4,85,394,4,67,251
97150,0,12,4,14,607,4,46,112,4,32,932
97157,2,13,0,1,274,4,99,449,1,86,11
97156,2,25,1,9,198,4,64,405,1,65,973
97155,2,25,9,60,711,8,71,108,1,14,410
97154,0,3,0,80,643,3,67,846,1,98,770
88023,2,26,1,77,10,3,65,384,1,40,409
88022,2,0,6,48,229,4,9,378,4,32,455
88021,2,22,4,52,129,4,57,355,0,74,22
88020,2,1,0,1,549,3,99,769,1,43,319
