,km_10,km_100
145658,0,32
89370,0,32
89371,0,32
89372,0,32
89373,0,32
89374,8,53
89375,0,20
89376,0,32
89377,0,32
89378,0,20
89379,8,42
2224796,8,20
103549,0,20
103548,0,32
103541,0,20
103540,0,20
103543,8,20
103542,0,32
103545,4,89
103544,0,63
103547,7,41
103546,0,20
88395,8,42
88394,8,42
88397,0,20
88396,0,20
88391,0,32
88390,0,32
88393,0,32
88392,0,32
88399,0,32
88398,0,32
97159,0,32
97158,0,32
97153,0,32
97152,0,32
97151,8,16
97150,8,20
97157,0,20
97156,0,20
97155,8,42
97154,0,32
88023,8,42
88022,0,20
88021,0,32
88020,0,32
88027,0,32
88026,0,32
88025,0,32
88024,0,32
88029,0,20
88028,0,32
100016,0,20
100017,0,20
100014,0,32
100015,0,20
100012,0,32
100013,0,32
100010,0,20
100011,0,20
100018,0,32
100019,8,63
95799,8,63
95798,8,42
95797,7,11
95796,8,42
95793,0,20
95792,0,20
95791,0,32
95790,0,32
90310,8,42
90311,0,32
90312,0,32
90313,0,32
90314,0,20
90315,0,20
90316,0,20
90317,8,42
90318,0,20
90319,8,42
94541,0,32
94540,8,52
94543,0,32
94542,0,20
94545,0,20
94544,0,32
94547,0,32
94546,0,32
94549,0,20
94548,0,32
2784695,0,20
97024,0,32
2784697,0,32
97939,0,32
97938,8,4
97931,8,20
97930,8,63
97933,0,32
97932,0,32
97935,8,20
97934,0,20
97937,0,32
97936,8,20
92262,8,52
92263,0,20
92260,8,63
92261,0,32
92266,0,20
92267,0,32
92264,0,32
92265,0,32
92268,0,20
92269,0,32
111548,0,32
111549,0,20
111542,8,7
111543,8,7
111540,8,89
111541,8,63
111546,0,32
111547,0,20
111544,0,20
111545,8,52
107899,0,32
107898,0,20
107893,0,32
107892,0,20
107890,0,20
107897,0,20
107896,0,32
107895,0,32
107894,0,32
92886,8,87
92887,0,20
92884,0,32
92885,8,52
92882,8,42
92883,0,32
92880,8,42
92881,0,32
85753,0,20
92888,0,32
92889,8,53
93139,0,32
93138,0,32
104278,0,20
104279,8,63
93135,0,32
93134,0,32
93137,0,32
104275,0,32
93131,0,32
93130,0,20
93133,0,32
93132,0,32
98109,0,32
98108,0,20
98105,0,32
98107,0,32
98106,0,20
98101,8,53
98100,8,63
98103,0,32
98102,0,32
99858,0,32
99859,0,20
99850,8,16
99851,0,32
99852,0,32
99853,0,32
99854,0,20
99855,8,63
99856,0,20
99857,0,20
105639,7,84
105638,0,20
105631,8,42
105630,0,32
105633,0,20
105632,0,20
105635,8,42
105634,0,20
105637,0,20
105636,0,32
102946,0,32
102947,0,32
102945,0,32
102948,0,32
102949,0,20
102366,8,63
102367,0,20
102364,8,42
102365,0,32
102363,0,20
102360,0,32
102368,0,20
102369,0,20
107703,0,32
107702,0,32
107701,0,20
107707,8,42
107706,0,32
107705,0,32
107704,0,20
107709,0,20
107708,8,63
91950,0,20
112239,0,20
112230,0,32
811779,0,32
108104,7,87
108107,0,20
108100,0,20
108102,0,20
108103,0,32
109855,0,32
109857,0,20
109856,0,20
109859,0,32
109858,0,20
100131,0,32
100130,0,20
100133,0,20
100132,0,20
100135,0,20
100134,8,4
103706,0,20
103705,8,20
103704,0,32
103703,0,32
103702,8,42
