,km_10,km_100
145658,8,76
89370,8,76
89371,0,43
89372,8,59
89373,8,11
89374,4,31
89375,7,3
89376,9,19
89377,8,69
89378,1,30
89379,1,91
2224796,1,21
103549,7,15
103548,7,3
103541,1,32
103540,1,36
103543,1,46
103542,1,21
103545,2,76
103544,5,55
103547,8,69
103546,8,69
88395,1,44
88394,1,44
88397,1,44
88396,7,33
88391,8,59
88390,8,5
88393,8,69
88392,7,35
88399,1,27
88398,7,7
97159,1,52
97158,8,79
97153,1,21
97152,6,21
97151,1,97
97150,6,10
97157,8,83
97156,1,98
97155,0,69
97154,8,46
88023,1,79
88022,6,31
88021,6,10
88020,8,4
88027,1,21
88026,1,59
88025,1,21
88024,8,59
88029,1,55
88028,1,59
100016,6,66
100017,6,66
100014,1,21
100015,8,91
100012,8,59
100013,9,83
100010,8,27
100011,5,55
100018,8,59
100019,1,96
95799,5,67
95798,1,76
95797,1,96
95796,1,21
95793,7,31
95792,1,21
95791,1,4
95790,1,21
90310,1,21
90311,1,21
90312,1,21
90313,5,12
90314,0,79
90315,1,21
90316,8,69
90317,1,41
90318,7,28
90319,1,21
94541,8,59
94540,0,75
94543,1,1
94542,7,27
94545,9,30
94544,6,66
94547,5,94
94546,1,36
94549,8,33
94548,9,19
2784695,9,19
97024,1,12
2784697,7,86
97939,1,21
97938,7,94
97931,0,85
97930,1,21
97933,0,75
97932,7,86
97935,6,10
97934,6,66
97937,1,38
97936,0,69
92262,0,5
92263,7,35
92260,1,96
92261,0,75
92266,8,59
92267,4,81
92264,1,21
92265,8,70
92268,1,21
92269,8,9
111548,8,59
111549,8,83
111542,8,9
111543,8,9
111540,2,47
111541,5,8
111546,1,23
111547,1,46
111544,1,21
111545,0,43
107899,6,66
107898,1,21
107893,1,41
107892,1,36
107890,8,94
107897,1,21
107896,1,15
107895,1,21
107894,8,83
92886,6,66
92887,8,59
92884,1,21
92885,0,68
92882,1,71
92883,1,21
92880,4,15
92881,6,52
85753,8,36
92888,5,1
92889,4,31
93139,1,21
93138,8,36
104278,1,21
104279,1,55
93135,8,46
93134,8,46
93137,4,20
104275,8,77
93131,8,5
93130,0,42
93133,8,46
93132,6,12
98109,1,21
98108,6,10
98105,8,31
98107,8,9
98106,7,7
98101,8,59
98100,6,10
98103,5,13
98102,6,12
99858,4,15
99859,1,31
99850,8,83
99851,8,98
99852,1,21
99853,7,94
99854,1,4
99855,1,21
99856,1,21
99857,1,83
105639,1,21
105638,4,38
105631,1,71
105630,1,8
105633,1,21
105632,1,21
105635,6,12
105634,6,10
105637,4,58
105636,8,58
102946,1,21
102947,8,46
102945,8,59
102948,1,21
102949,1,83
102366,1,21
102367,7,28
102364,1,33
102365,4,3
102363,0,69
102360,4,38
102368,1,21
102369,5,55
107703,9,19
107702,1,23
107701,7,74
107707,1,36
107706,8,69
107705,1,21
107704,0,76
107709,8,70
107708,1,21
91950,7,28
112239,8,91
112230,0,14
811779,1,21
108104,6,10
108107,1,21
108100,6,66
108102,7,74
108103,1,21
109855,8,59
109857,1,76
109856,1,20
109859,1,21
109858,1,21
100131,8,46
100130,1,15
100133,8,59
100132,1,21
100135,8,37
100134,7,86
103706,1,32
103705,1,21
103704,8,59
103703,1,36
103702,1,41
103701,1,76
103700,8,83
100136,1,44
103709,8,5
103708,1,21
111955,1,21
111954,1,21
111957,1,21
91219,6,10
111951,1,21
111950,4,15
111953,4,15
111952,1,21
91212,6,10
91213,6,66
91210,8,59
91211,1,94
111959,8,59
111958,8,52
91214,1,56
91215,8,56
145770,1,21
145771,1,21
145772,1,21
145773,1,66
145774,8,46
145775,8,71
145776,8,9
101942,4,38
145778,0,85
101941,7,28
101701,8,46
101700,0,85
