,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
145658,4,0,927,3,3,966,7,38,43
89370,4,38,413,3,99,247,7,38,143
89371,7,92,129,7,68,646,9,63,680
89372,0,16,271,5,88,491,7,38,483
89373,6,93,722,1,24,369,3,80,530
89374,6,23,149,1,77,75,5,58,454
89375,2,13,988,5,88,793,7,38,581
89376,2,37,136,5,72,995,7,38,344
89377,1,48,196,3,74,262,1,96,198
89378,2,21,632,5,75,444,7,12,642
89379,2,37,760,5,72,546,7,12,451
2224796,2,74,365,5,75,975,7,12,45
103549,6,77,522,1,92,14,3,43,92
103548,6,85,522,3,53,24,3,43,92
103541,2,37,760,5,72,697,7,38,958
103540,6,29,839,1,77,134,1,7,361
103543,2,46,860,5,31,248,2,99,491
103542,2,37,860,5,50,248,2,99,491
103545,1,1,337,5,57,179,4,55,333
103544,8,6,264,0,18,88,5,42,803
103547,4,85,681,3,53,874,2,13,503
103546,9,85,681,3,53,171,2,13,503
88395,4,55,190,5,86,569,7,12,643
88394,2,55,190,5,86,159,4,55,453
88397,2,44,812,5,55,159,4,55,453
88396,2,37,6,5,72,912,7,38,164
88391,2,96,724,0,34,424,5,35,400
88390,9,40,769,3,84,585,5,58,337
88393,9,34,747,3,26,556,2,13,503
88392,4,25,901,3,41,791,1,96,62
88399,2,70,860,5,50,248,2,31,421
88398,4,1,90,3,34,559,7,12,591
97159,2,74,775,5,75,524,7,12,890
97158,2,1,413,5,5,349,1,96,62
97153,2,66,527,5,88,317,9,74,335
97152,2,37,919,5,72,546,7,64,852
97151,2,75,685,5,88,834,4,55,877
97150,6,89,390,1,2,10,3,43,941
97157,4,44,695,1,55,316,1,24,837
97156,6,89,679,1,2,6,3,22,442
97155,2,66,441,7,68,742,9,74,462
97154,4,86,412,3,35,242,4,23,316
88023,4,7,677,5,78,563,1,96,62
88022,6,23,324,1,77,893,3,43,85
88021,4,38,42,3,99,471,1,96,710
88020,4,43,927,3,51,750,2,67,58
88027,2,37,619,5,72,943,7,64,49
88026,2,74,68,5,75,687,7,38,344
88025,2,11,431,5,88,496,7,12,122
88024,2,86,452,5,35,645,7,12,322
88029,2,70,919,5,50,884,7,64,223
88028,2,70,716,5,50,430,7,38,457
100016,2,74,626,5,75,35,7,12,45
100017,2,74,365,5,75,975,7,12,45
100014,2,37,753,5,72,257,7,64,852
100015,4,38,848,3,99,694,1,96,62
100012,3,95,354,6,23,944,6,2,366
100013,3,43,97,1,51,748,2,67,578
100010,4,95,275,3,69,924,0,82,206
100011,2,14,737,0,7,586,5,65,441
100018,2,66,441,5,50,742,9,74,640
100019,2,70,277,5,71,187,5,37,183
95799,0,17,604,9,1,3,4,36,564
95798,2,27,466,5,5,912,7,38,428
95797,6,89,113,1,2,710,7,89,13
95796,2,70,284,5,50,731,7,12,313
95793,6,29,121,1,2,154,7,89,260
95792,2,11,990,5,88,279,4,55,877
95791,4,43,858,1,51,289,2,53,134
95790,2,37,619,5,72,943,7,64,223
90310,2,66,441,5,68,687,9,74,640
90311,2,21,995,5,88,317,7,12,170
90312,2,27,753,5,72,246,7,38,277
90313,0,16,952,9,1,593,7,12,122
90314,7,66,686,5,68,138,9,14,321
90315,6,89,113,1,2,363,3,22,300
90316,2,27,884,5,5,645,7,89,13
90317,2,27,726,5,5,226,1,39,436
90318,2,1,109,5,50,852,7,38,264
90319,2,37,619,1,72,912,7,38,428
94541,4,79,244,3,63,643,1,29,835
94540,7,97,147,7,4,295,9,11,150
94543,8,60,292,0,60,538,5,42,379
94542,6,20,85,1,19,41,1,77,189
94545,4,51,495,5,99,735,5,37,466
94544,4,89,275,3,2,879,1,39,893
94547,0,16,132,9,83,491,4,36,564
94546,9,29,224,5,76,160,7,89,260
94549,2,1,337,5,99,852,1,4,112
94548,2,7,46,5,78,414,1,46,162
2784695,4,43,599,3,51,395,2,86,558
97024,2,77,960,5,92,717,7,38,277
2784697,4,84,949,3,79,489,1,0,188
97939,2,86,960,1,35,645,1,46,551
97938,2,27,832,5,5,934,2,99,491
97931,7,97,425,7,68,321,9,11,723
97930,2,66,441,5,68,742,9,74,640
97933,7,66,256,7,68,742,9,74,462
97932,4,78,602,5,90,114,5,62,907
97935,4,15,453,3,8,136,6,17,676
97934,2,20,252,5,19,285,7,38,269
97937,2,1,995,5,34,496,7,12,322
97936,7,92,681,7,54,646,2,13,503
92262,7,24,587,7,84,76,5,58,757
92263,2,42,329,5,87,558,4,33,220
92260,2,88,314,5,82,735,5,37,183
92261,7,24,142,7,84,272,5,58,42
92266,4,0,52,3,3,570,0,61,476
92267,0,32,248,9,94,107,2,16,103
92264,2,74,428,5,75,667,7,12,313
92265,2,91,271,5,88,491,4,36,23
92268,2,37,716,5,50,645,7,38,457
92269,4,30,381,3,80,310,5,88,959
111548,8,6,264,0,35,125,5,42,803
111549,0,43,858,1,94,750,2,67,966
111542,2,35,309,4,62,584,2,86,625
111543,4,30,463,3,80,299,5,88,104
111540,4,46,226,8,31,96,8,69,409
111541,3,10,616,6,6,757,6,21,435
111546,2,1,347,5,50,216,2,75,469
111547,0,16,960,5,88,491,7,38,679
111544,2,37,753,5,72,257,7,64,852
111545,7,92,256,7,68,646,9,63,526
107899,0,2,194,5,17,594,5,37,148
107898,2,37,83,5,72,246,7,64,49
107893,2,11,437,5,88,414,2,31,421
107892,2,27,982,5,2,279,7,89,374
107890,7,66,527,7,68,868,2,99,372
107897,2,46,860,3,31,248,4,23,931
107896,4,86,262,5,35,597,1,46,551
107895,2,70,960,5,50,830,1,46,551
107894,0,16,81,9,83,62,4,9,356
92886,2,74,745,5,75,652,7,12,996
92887,4,80,783,3,33,733,4,23,717
92884,2,37,919,5,72,884,7,64,852
92885,7,66,256,7,68,742,9,74,462
92882,2,27,428,3,5,667,2,16,917
92883,2,11,919,0,50,104,7,64,852
92880,2,38,677,5,99,247,2,6,665
92881,2,74,347,5,88,491,7,38,277
85753,6,29,839,1,76,134,1,7,361
92888,2,86,794,5,35,430,7,38,457
92889,6,23,999,1,77,893,3,22,486
93139,2,37,626,5,72,35,7,64,825
93138,8,86,959,0,35,125,5,66,208
104278,2,66,670,5,5,687,7,38,344
104279,2,70,716,5,50,430,7,38,457
93135,4,31,78,3,25,382,1,26,652
93134,4,98,552,3,25,244,1,26,652
93137,6,23,798,1,77,391,3,43,598
104275,4,1,529,3,34,955,7,12,313
93131,4,40,587,3,84,621,5,58,337
93130,7,64,970,7,54,308,2,13,211
93133,4,31,733,3,25,244,1,26,652
93132,2,27,678,5,5,279,1,7,331
98109,2,37,753,5,50,216,7,38,156
98108,2,27,428,5,5,667,7,38,43
98105,6,81,858,1,77,410,2,67,768
98107,8,6,676,0,18,78,5,50,96
98106,8,40,769,0,84,585,5,58,337
98101,6,23,455,1,98,280,3,22,317
98100,2,27,466,5,50,854,7,64,223
98103,6,89,765,3,14,830,4,55,677
98102,4,77,988,3,37,192,1,20,418
99858,6,39,409,1,98,121,3,43,598
99859,6,23,904,1,77,10,3,22,486
99850,4,15,453,3,8,493,6,17,676
99851,4,95,136,3,8,781,6,2,388
99852,2,37,753,5,72,444,7,12,642
99853,7,66,527,7,68,868,2,99,372
99854,2,37,633,5,72,667,7,38,43
99855,2,37,626,5,72,731,7,64,825
99856,2,43,428,1,51,836,7,38,43
99857,4,43,858,1,51,750,2,67,823
105639,2,27,190,5,5,569,7,38,43
105638,9,75,685,4,87,619,0,72,948
105631,2,1,996,5,5,687,7,38,344
105630,8,11,437,0,60,884,4,33,161
105633,2,37,849,5,72,6,7,89,13
105632,2,37,619,5,72,257,7,64,250
105635,4,13,678,1,31,248,8,69,5
105634,6,89,113,5,2,10,7,38,264
105637,9,42,799,5,59,288,1,41,111
105636,2,42,880,5,87,469,5,37,148
102946,2,37,619,5,72,912,7,64,223
102947,4,31,552,3,25,382,1,26,114
102945,2,1,760,5,34,546,7,64,223
102948,2,74,626,5,72,35,7,38,269
102949,2,27,564,3,5,667,7,38,43
102366,2,70,113,1,2,6,7,89,13
102367,2,27,716,5,5,645,2,16,917
102364,2,27,726,5,5,854,1,39,436
102365,6,4,525,1,43,391,3,43,598
102363,4,81,633,3,39,868,7,38,43
102360,2,1,481,5,35,880,2,97,296
102368,2,7,46,5,78,414,1,4,577
102369,8,6,235,0,18,947,5,50,96
107703,4,1,337,3,34,692,7,12,18
107702,2,37,109,5,50,731,7,64,223
107701,2,27,83,5,72,192,7,38,428
107707,2,27,982,1,5,667,7,89,260
107706,4,61,506,3,76,825,1,7,77
107705,2,70,716,5,50,187,5,37,287
107704,7,5,240,7,54,653,9,11,970
107709,4,38,746,3,99,90,4,23,254
107708,2,37,919,5,50,731,7,64,223
91950,2,37,849,5,72,216,7,38,164
112239,3,95,50,3,23,743,8,69,490
112230,7,52,175,7,16,906,9,71,265
811779,2,37,619,5,72,731,7,64,223
108104,2,20,988,5,37,641,1,20,664
108107,2,37,626,5,72,35,7,64,250
108100,2,74,365,5,75,975,7,12,45
108102,2,20,85,5,19,934,7,38,269
108103,2,37,919,5,50,578,7,38,958
109855,4,78,890,3,90,339,7,38,780
109857,2,37,6,5,72,687,7,38,344
109856,6,89,904,1,2,6,7,89,374
109859,2,37,753,5,72,257,7,64,49
109858,2,37,919,5,50,697,7,38,958
100131,4,38,413,3,99,247,5,76,794
100130,2,27,614,5,5,504,1,51,887
100133,4,13,731,3,30,627,2,13,539
100132,2,27,466,3,5,943,1,39,302
100135,4,80,429,3,33,736,1,39,302
100134,2,27,459,5,5,246,7,89,482
103706,2,37,919,5,50,697,5,19,660
103705,2,11,428,5,88,667,7,89,13
103704,4,43,790,3,51,191,1,7,19
103703,2,20,776,5,19,641,1,20,912
103702,2,27,466,5,5,500,5,37,287
103701,2,43,858,3,51,94,2,67,812
103700,4,43,395,3,51,94,2,67,812
100136,2,21,190,5,75,569,7,12,643
103709,4,40,769,3,84,585,5,58,337
103708,2,37,112,5,72,349,7,38,140
111955,2,27,83,1,5,736,1,39,796
111954,2,70,46,3,88,106,4,23,75
111957,2,27,459,5,5,736,7,89,482
91219,2,20,988,5,19,641,1,20,664
111951,2,37,626,5,50,546,7,64,223
111950,1,12,146,5,56,933,0,84,255
111953,1,12,146,5,56,933,0,84,255
111952,2,61,527,5,76,160,7,89,260
91212,2,20,988,5,19,641,1,20,664
