,nmi_score,ami_score,mi_score,ar_score,cs_score,fm_score,hs_score,vm_score
mod vs. wt,0.38496032446,0.184582090738,1.00160314488,0.0884315746812,0.222526855831,0.233443074147,0.665962096372,0.33358760633
km_10 vs. km_100,0.448432165988,0.310733212497,1.41577766716,0.097096147564,0.313195883267,0.205423381619,0.642062741678,0.421019820689
km_10 vs. km_1000,0.421745995918,0.220470823212,1.62646152968,0.0132231181742,0.241143593864,0.0763371888103,0.737608999776,0.363461994846
km_10 vs. gmm_10,0.696168921811,0.691928070551,1.54404480988,0.649731096091,0.692128849508,0.6912100894,0.700232576695,0.696157130721
km_10 vs. gmm_100,0.444191361708,0.307625240527,1.40301319167,0.0994497534844,0.310095919119,0.209346736408,0.636273983793,0.41697430404
km_10 vs. gmm_1000,0.422754129327,0.221029266345,1.63062483485,0.0129391172209,0.241679187751,0.0752072585426,0.73949708093,0.364299585239
km_10 vs. hc_10,0.368209667602,0.365000594959,0.805766484071,0.24961068182,0.371021232332,0.34156299376,0.36541940865,0.36819901502
km_10 vs. hc_100,0.375391497293,0.261727943246,1.17516272732,0.0919392929788,0.264416433462,0.189538150353,0.532942579984,0.353463807051
km_10 vs. hc_1000,0.408956256995,0.212315352688,1.58056428639,0.0120470522522,0.233323852336,0.0716187167754,0.716794354548,0.352051395129
km_100 vs. km_1000,0.646279683463,0.417298793672,3.56856854426,0.119798032586,0.529085642671,0.201168558733,0.789432552258,0.633555806607
km_100 vs. gmm_10,0.417540660066,0.290789934742,1.32594269069,0.0891899948717,0.594363054201,0.187476435911,0.293322745375,0.392797097557
km_100 vs. gmm_100,0.777649198924,0.767284842958,3.51686815271,0.581582848515,0.777303070786,0.586459680285,0.77799548119,0.777649121859
km_100 vs. gmm_1000,0.647333237755,0.418234196713,3.57498984787,0.119647281131,0.529858630988,0.201670964606,0.79085306192,0.634567442617
km_100 vs. hc_10,0.388187465033,0.266434184791,1.21628746614,0.0779447980673,0.560048703288,0.174245652097,0.269065006533,0.363495395684
km_100 vs. hc_100,0.556846149373,0.532062570866,2.4959133833,0.278571854094,0.561590747988,0.288414943525,0.552141635493,0.556826107727
km_100 vs. hc_1000,0.607048638407,0.374563058598,3.35922820972,0.0979025792246,0.495891292442,0.167771882755,0.743122646049,0.594840845521
km_1000 vs. gmm_10,0.407632031381,0.213579823448,1.58120729857,0.0129534879575,0.708787194119,0.0731151848175,0.234434078926,0.352332751087
km_1000 vs. gmm_100,0.645165525674,0.416040196724,3.56400281034,0.116493019195,0.787720838108,0.195934064257,0.528408714587,0.632519123464
km_1000 vs. gmm_1000,0.767598990348,0.546298613642,5.17816432013,0.313518956888,0.767469328432,0.314428149548,0.76772867417,0.767598979395
km_1000 vs. hc_10,0.406136649434,0.20983408894,1.55439514989,0.0123255572003,0.715732926903,0.0729405633004,0.230458837107,0.348654436209
km_1000 vs. hc_100,0.613383429222,0.383541880071,3.35831056015,0.0885666289071,0.755633649816,0.159205215304,0.497912224178,0.600279956321
km_1000 vs. hc_1000,0.74078905531,0.489219404211,5.00731719983,0.249266738174,0.739183182228,0.250295802099,0.742398417145,0.740787310937
gmm_10 vs. gmm_100,0.417809152125,0.290851251573,1.327386128,0.0930651070653,0.293380720747,0.193904858128,0.595010085036,0.392990306661
gmm_10 vs. gmm_1000,0.409938641535,0.21490923634,1.59042330677,0.0126844504878,0.23572081373,0.0720782849109,0.712918334041,0.354296341698
gmm_10 vs. hc_10,0.34936544785,0.344278427367,0.768991683067,0.231050436706,0.354087998874,0.322975457321,0.344705882547,0.349333957828
gmm_10 vs. hc_100,0.372986391826,0.261568296642,1.17444921999,0.0916258900668,0.264255891387,0.184904885921,0.526455049904,0.351882947921
gmm_10 vs. hc_1000,0.403804637188,0.21068756802,1.56976372543,0.0122332013619,0.231729467019,0.0706729172612,0.70365753269,0.348643256887
gmm_100 vs. gmm_1000,0.645487888229,0.416234661446,3.566386025,0.117158109433,0.528583435813,0.19776607429,0.788247579513,0.632814095356
gmm_100 vs. hc_10,0.387559645025,0.265881057313,1.21486107973,0.0800051691708,0.559391912949,0.177736782369,0.268510278706,0.362850781084
gmm_100 vs. hc_100,0.557096431884,0.532045313059,2.49814712144,0.28549659213,0.562093348231,0.29525608167,0.552143937292,0.557074221892
gmm_100 vs. hc_1000,0.607434130665,0.374775024551,3.36285820319,0.09724100607,0.496427154266,0.166842220434,0.743263578404,0.595271406606
gmm_1000 vs. hc_10,0.403493368503,0.208259595436,1.54453949839,0.012024631678,0.711194818111,0.071692344022,0.228920254029,0.346355256396
gmm_1000 vs. hc_100,0.610453701273,0.380501517744,3.34283479403,0.0872275898411,0.752151538967,0.157457435912,0.495450320968,0.5973920581
gmm_1000 vs. hc_1000,0.737311785014,0.4823701566,4.98465481118,0.248033274447,0.73583774676,0.249036579047,0.738788776078,0.737310308613
hc_10 vs. hc_100,0.699037436844,0.486776472324,2.17175302612,0.176502504448,0.488653338109,0.330172650988,1.0,0.656503869101
hc_10 vs. hc_1000,0.566211524361,0.302289923272,2.17175302612,0.0178034150814,0.320595490319,0.101199521794,1.0,0.48553170546
hc_100 vs. hc_1000,0.809987412,0.576670030657,4.44436343057,0.169825675692,0.656079607599,0.30650485887,1.0,0.792328586849
