,mod,wt
96546,0,0
110557,1,1
106300,1,2
89372,0,3
89373,0,3
89374,2,4
89375,2,5
89376,2,6
89378,2,7
89379,2,8
96076,1,1
106302,1,2
91138,2,9
106303,0,9
106304,2,10
110551,1,5
106305,1,2
103549,2,1
103548,0,1
103541,0,1
103540,0,11
103543,2,9
103542,2,9
103545,0,12
103544,0,1
103547,2,13
103546,0,12
97818,2,13
102819,2,14
88395,0,15
88397,2,1
88396,0,16
88391,2,17
88390,2,18
88398,2,19
97159,2,20
97158,0,3
102193,0,21
97153,0,22
93172,2,23
97151,0,12
102192,0,24
97157,2,13
102812,2,25
97155,2,25
97154,0,3
102813,0,2
89377,2,7
88023,2,26
88022,2,0
88021,2,22
88027,1,1
799973,1,2
88024,2,13
88029,2,27
100016,3,28
100017,3,28
100014,2,29
100015,0,3
100012,0,1
100013,0,21
100010,1,1
100011,0,10
100018,1,30
100019,3,31
91070,2,32
95799,0,33
95798,2,34
95797,1,3
95793,0,35
95792,0,36
91132,2,37
91071,3,38
87998,4,39
105476,1,2
97029,2,40
85513,2,7
96135,3,35
99649,0,12
97028,3,41
90311,1,5
90312,2,42
90313,2,43
90314,2,9
90315,3,28
90316,2,40
90317,2,44
90319,2,45
97027,2,40
99607,1,5
96133,2,13
99603,0,22
99602,1,1
97025,2,13
94543,0,46
94542,2,1
94545,2,3
94547,0,3
94546,2,1
94549,0,47
94548,0,48
98593,0,36
2784697,1,1
97023,1,1
97931,0,3
145848,1,1
97934,2,29
97937,0,49
97021,2,1
89371,0,35
94278,0,50
87996,2,51
97020,0,52
92260,2,53
92266,3,54
92267,3,55
87997,0,56
89580,2,57
88394,0,58
111549,1,5
111542,1,2
111543,1,5
111540,1,1
111541,1,2
111546,1,2
111547,1,5
111544,1,3
111545,1,2
107898,1,5
107893,1,2
107892,1,2
107890,1,2
107897,1,59
107896,1,59
107895,2,30
92886,0,60
92887,2,13
92884,2,61
92885,2,7
92882,3,62
92883,2,63
92880,2,9
92881,0,2
92888,3,64
92889,2,65
93139,2,66
104278,2,44
104279,2,67
104276,2,1
104274,0,36
104275,2,1
104272,1,5
104273,1,30
104271,2,68
104437,0,12
2620885,1,12
98109,0,12
98108,0,69
98105,0,36
98107,0,12
98106,0,69
98101,0,52
98103,0,70
98102,2,1
2620886,1,5
97152,2,13
2620881,1,71
97749,2,7
99858,3,1
99859,3,1
97150,0,12
99850,0,1
99851,0,3
99852,0,50
99854,0,72
99855,1,2
99856,0,52
97156,2,25
99775,0,73
98641,2,13
99019,2,25
105639,2,5
105638,1,5
105631,1,12
105630,0,12
105633,2,8
105632,0,74
105635,1,1
105634,3,2
105637,1,75
105636,2,67
102946,2,76
102947,2,1
102945,1,2
102948,0,12
102949,0,35
99017,0,3
94276,2,7
99013,2,77
99992,5,78
94275,2,1
102366,3,1
102367,2,79
102364,2,80
102365,2,81
102363,2,14
102360,0,82
102368,0,22
102369,0,3
107703,0,36
107702,0,36
107701,1,5
107707,1,5
107706,1,5
107705,1,5
107704,2,68
107709,1,5
112239,1,83
112230,2,1
94337,0,1
811779,0,1
108104,1,5
108107,2,67
108100,1,5
108102,1,1
108103,2,21
97802,0,3
109855,1,5
109857,0,36
109856,0,84
109859,2,1
109858,2,13
92600,2,42
92601,3,85
