,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,ioe,court,tax,88429
1,sheard,state,ioe,88429
2,sugar,tax,sheard,88429
3,grigson,v,board,88429
4,pca,act,sugar,88429
5,preston,case,hospit,88429
6,mcdonald,upon,grigson,88429
7,thaw,board,pca,88429
8,l—208,properti,preston,88429
9,child,law,mcdonald,88429
10,color,compani,thaw,88429
11,wiretap,unit,l—208,88429
12,corpor,may,import,88429
13,lien,decre,wiretap,88429
14,hospit,district,child,88429
15,mine,petition,mine,88429
16,troy,made,taxat,88429
17,pencil,l,color,88429
18,§10b,u,pencil,88429
19,merchandis,shall,troy,88429
20,tax,right,§10b,88429
21,testamentari,new,stilson,88429
22,stilson,sct,testamentari,88429
23,resciss,corpor,legislatur,88429
24,philippin,constitut,resciss,88429
25,sharehold,us,build,88429
26,mueser,evid,mueser,88429
27,patent,said,merchandis,88429
28,sbb,would,church,88429
29,titu,power,sbb,88429
30,se14,§,philippin,88429
31,§1635f,one,kentucki,88429
32,district,patent,tract,88429
33,tenant,ioe,se14,88429
34,import,import,§1635f,88429
35,exempt,land,titu,88429
36,ship,claim,decre,88429
37,ne14,congress,dutch,88429
38,custodi,use,lodg,88429
39,eras,respond,expir,88429
40,decre,govern,ne14,88429
41,blind,feder,blind,88429
42,staat,question,union,88429
43,dutch,see,staat,88429
44,contempt,sheard,eras,88429
45,psychiatr,defend,hous,88429
46,executor,appeal,sharehold,88429
47,count,proceed,saltwork,88429
48,saltwork,time,psychiatr,88429
49,bond,taxat,custodi,88429
50,water,hospit,exempt,88429
51,truste,sugar,extraterritori,88429
52,union,citi,recoup,88429
53,recoup,legislatur,clarendon,88429
54,survey,union,tenant,88429
55,lodg,gener,corpor,88429
56,clarendon,mine,truste,88429
57,church,action,labor,88429
58,knit,statut,knit,88429
59,board,order,governor,88429
60,indian,error,mississippi,88429
61,dealer,york,osteopath,88429
62,employe,contract,sw14,88429
63,senior,bond,bargain,88429
64,commiss,year,prioriti,88429
65,osteopath,ct,motiv,88429
66,sw14,rule,irrig,88429
67,chamber,bank,committe,88429
68,insan,purpos,executor,88429
69,rubber,ed,contempt,88429
70,newport,duti,insan,88429
71,picket,preston,head,88429
72,extraterritori,grigson,dealer,88429
73,citi,child,senior,88429
74,state,author,inventori,88429
75,carolina,pca,new,88429
76,605,whether,lien,88429
77,inquisit,provid,leadpencil,88429
78,leadpencil,mcdonald,campbellsvil,88429
79,inventori,labor,newport,88429
80,campbellsvil,must,605,88429
81,montgomeri,truste,rubber,88429
82,dr,build,inquisit,88429
83,bankruptci,requir,act,88429
84,duti,jurisdict,nw14,88429
85,usag,employe,chamber,88429
86,tract,co,collect,88429
87,execut,judgment,categori,88429
88,head,within,erect,88429
89,allot,color,summat,88429
90,land,thaw,carolina,88429
91,taxat,provis,proviso,88429
92,replic,trial,north,88429
93,nw14,hous,york,88429
94,racial,sale,dr,88429
95,facto,l—208,duti,88429
96,rate,led2d,institut,88429
97,petition,agreement,montgomeri,88429
98,sale,decis,weight,88429
99,deduct,part,warehous,88429
100,categori,section,patent,88429
101,governor,juri,picket,88429
102,physician,tract,withdraw,88429
103,summat,exempt,defens,88429
104,probat,kentucki,liquid,88429
105,erect,issu,injunct,88429
106,liquid,interest,usag,88429
107,feder,also,facto,88429
108,gold,fact,disclosur,88429
109,chase,lien,replic,88429
110,committe,except,properti,88429
111,compani,object,rancho,88429
112,properti,wiretap,chase,88429
113,irrig,1,employe,88429
114,municip,collect,agreement,88429
115,legislatur,water,evid,88429
116,standard,execut,count,88429
117,weight,appel,amort,88429
118,power,parti,physician,88429
119,vessel,nation,sierra,88429
120,bargain,stat,survey,88429
121,rancho,present,morrison,88429
122,north,merchandis,§1635,88429
123,grand,mr,bounti,88429
124,prioriti,opinion,ship,88429
125,invent,expir,object,88429
126,post,held,testifi,88429
127,court,troy,levi,88429
128,amort,secur,prefer,88429
129,levi,limit,drop,88429
130,joint,pencil,examin,88429
131,sierra,2,organ,88429
132,democrat,commission,calder,88429
133,wit,wit,trade,88429
134,warehous,§10b,democrat,88429
135,build,violat,wpb,88429
136,worker,church,charter,88429
137,letter,plaintiff,racial,88429
138,drop,custodi,constitut,88429
139,intercept,mississippi,water,88429
140,charter,testamentari,intercept,88429
141,bank,find,wit,88429
142,withdraw,commiss,district,88429
143,calder,injunct,ex,88429
144,louisiana,stilson,checkoff,88429
145,§1635,ship,reserv,88429
146,precinct,philippin,petition,88429
147,kentucki,could,06,88429
148,competit,employ,gold,88429
149,exchang,resciss,nardon,88429
150,trade,committe,charit,88429
151,respond,make,precinct,88429
152,bounti,effect,elast,88429
153,wpb,led,post,88429
154,elast,rate,contribut,88429
155,concess,grant,deduct,88429
156,convey,sharehold,r22e,88429
157,checkoff,governor,grandfath,88429
158,mississippi,survey,obsolesc,88429
159,1852,convey,worker,88429
160,trial,mueser,allot,88429
161,06,lodg,ctcl,88429
162,nardon,id,concess,88429
163,debt,subject,shape,88429
164,affidavit,justic,3870,88429
165,port,c,moor,88429
166,grandfath,3,examinersinchief,88429
167,1918,consider,1998,88429
168,sec,reserv,conspiraci,88429
169,ctcl,defens,orlean,88429
170,injunct,executor,draw,88429
171,distribut,legisl,australia,88429
172,labor,7,raimond,88429
173,obsolesc,examin,1852,88429
174,commission,north,interfer,88429
175,line,amount,year,88429
176,contribut,bargain,probat,88429
177,r22e,applic,shaw,88429
178,institut,charg,lone,88429
179,crime,amend,descript,88429
180,commerc,payment,sec,88429
181,proviso,sbb,power,88429
182,cultiv,line,t9,88429
183,error,origin,shall,88429
184,orlean,circuit,l,88429
185,charit,titu,divulg,88429
186,punish,dutch,frasch,88429
187,hous,se14,brother,88429
188,york,determin,32793735,88429
189,shaw,§1635f,manufactur,88429
190,3870,charter,edith,88429
191,tree,carolina,louisvil,88429
192,examinersinchief,practic,convey,88429
193,claimant,blind,chang,88429
194,texa,organ,grand,88429
195,assigne,indian,asylum,88429
196,beach,tenant,crossexamin,88429
197,australia,record,chariti,88429
198,trust,institut,black,88429
199,commun,levi,r21e,88429
200,interior,debt,ammunit,88429
201,raimond,supra,coplaintiff,88429
202,juri,allow,dissimilar,88429
203,lone,ne14,crime,88429
204,divulg,good,solicitor,88429
205,gener,eras,nation,88429
206,reserv,day,tree,88429
207,interst,count,wooddeson,88429
208,law,contempt,consumpt,88429
209,medicin,return,medicin,88429
210,u,staat,beach,88429
211,remov,person,cultiv,88429
212,good,trust,incorpor,88429
213,instrument,trade,surfac,88429
214,frasch,petit,purpos,88429
215,shoot,psychiatr,congression,88429
216,wine,affirm,exchang,88429
217,ammunit,decid,acrefeet,88429
218,t9,prioriti,end,88429
219,act,manufactur,made,88429
220,dissimilar,chang,1271,88429
221,war,saltwork,respond,88429
222,edith,crime,shoot,88429
223,allotte,bankruptci,indic,88429
224,legisl,circumst,3392,88429
225,32793735,two,so2d,88429
226,conspiraci,howev,clay,88429
227,print,motiv,punish,88429
228,unit,suprem,citi,88429
229,expir,ex,crow,88429
230,testat,exist,10b–5,88429
231,coplaintiff,head,4915,88429
232,secur,appli,banish,88429
233,vs,testimoni,affidavit,88429
234,shipment,indict,domest,88429
235,borrow,valu,2d,88429
236,consolid,term,wine,88429
237,confirm,might,port,88429
238,favour,testifi,socket,88429
239,surfac,differ,secur,88429
240,examin,due,leas,88429
241,r21e,rep,execut,88429
242,indict,california,distribut,88429
243,acrefeet,deduct,proceed,88429
244,estat,even,municip,88429
245,crow,three,realiz,88429
246,wooddeson,second,joint,88429
247,fund,remov,allotte,88429
248,restrain,sup,rescind,88429
249,defens,dealer,adjoin,88429
250,carrier,without,atterburi,88429
251,warrant,recoup,three,88429
252,adjoin,writ,compet,88429
253,california,extraterritori,borrow,88429
254,draw,appear,errvwilliam,88429
255,3392,form,indebted,88429
256,rescind,irrig,boundari,88429
257,4915,relat,commun,88429
258,packag,convict,stogner,88429
259,1909,fund,quantiti,88429
260,10b–5,punish,sixth,88429
261,boundari,respect,packag,88429
262,banish,motion,favour,88429
263,marshal,alleg,unfair,88429
264,interfer,bill,violat,88429
265,gain,taken,736969,88429
266,ohio,texa,occupi,88429
267,demurr,12,use,88429
268,socket,n,1918,88429
269,fifth,proviso,cocain,88429
270,remand,erect,marshal,88429
271,action,clarendon,ca,88429
272,vacat,brought,except,88429
273,ex,suit,monument,88429
274,damag,point,buckman,88429
275,cocain,5,brick,88429
276,monument,hear,3year,88429
277,race,show,test,88429
278,black,pass,galveston,88429
279,galveston,leas,melvil,88429
280,grievanc,matter,ringvunit,88429
281,deed,4,cooper,88429
282,brick,f2d,erorrvanthoni,88429
283,day,commerc,treason,88429
284,sixth,certain,practic,88429
285,treason,follow,war,88429
286,1271,weight,aramco,88429
287,salt,knit,consider,88429
288,practic,counsel,along,88429
289,order,prefer,contributor,88429
290,testifi,port,acr,88429
291,entri,purchas,instrument,88429
292,errvwilliam,equal,rubbertip,88429
293,allow,given,elw,88429
294,atterburi,10,shot,88429
295,cost,senior,moistur,88429
296,acr,assess,confirm,88429
297,appel,insan,famili,88429
298,right,control,annual,88429
299,appelle,regul,commission,88429
300,repair,first,239,88429
301,tex,end,sherrod,88429
302,plaintiff,give,withdrawn,88429
303,stogner,war,1997,88429
304,so2d,j,offer,88429
305,sentenc,withdraw,maw,88429
306,railroad,warehous,514,88429
307,convict,liquid,improt,88429
308,secretari,involv,vicin,88429
309,ten,chamber,gener,88429
310,736969,place,testat,88429
311,street,osteopath,return,88429
312,rule,sw14,visitor,88429
313,motiv,offic,1909,88429
314,contract,inventori,fixtur,88429
315,attorney,offer,devot,88429
316,melvil,direct,todaro,88429
317,defend,crimin,woodvil,88429
318,buckman,mean,confer,88429
319,assign,categori,ann,88429
320,contributor,6,henri,88429
321,foreign,hold,amalgam,88429
