,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,simplex,court,patent,104697
1,anastaplo,state,feder,104697
2,syrup,v,indian,104697
3,wrenn,case,jurisdict,104697
4,amish,act,mortgag,104697
5,usoc,compani,virginia,104697
6,burchel,unit,compani,104697
7,midterm,law,defend,104697
8,virginia,defend,interst,104697
9,whippl,upon,congress,104697
10,harrow,land,commerc,104697
11,txo,sct,carrier,104697
12,indian,u,state,104697
13,fda,us,syrup,104697
14,bryar,plaintiff,tort,104697
15,torr,right,popul,104697
16,film,said,prison,104697
17,boss,jurisdict,bargain,104697
18,milk,feder,petition,104697
19,roach,petition,manufactur,104697
20,search,claim,simplex,104697
21,wiggin,may,grant,104697
22,territori,§,anastaplo,104697
23,train,would,wrenn,104697
24,elector,statut,legislatur,104697
25,stock,shall,elect,104697
26,patent,made,car,104697
27,machin,patent,elector,104697
28,hubbard,l,amish,104697
29,mcgrew,congress,commission,104697
30,miranda,one,subcontractor,104697
31,popul,co,treati,104697
32,rookerfeldman,district,combin,104697
33,florin,question,memoranda,104697
34,spous,contract,usoc,104697
35,money,power,allot,104697
36,nantucket,appeal,oklahoma,104697
37,ambler,tax,zone,104697
38,bargain,ct,vote,104697
39,lpo,properti,transport,104697
40,telephon,order,west,104697
41,latch,suit,represent,104697
42,harter,constitut,burchel,104697
43,boe,railroad,midterm,104697
44,scott,time,tribe,104697
45,sargeant,decre,beneficiari,104697
46,fortier,ed,contractor,104697
47,wager,judgment,1911,104697
48,perin,1,line,104697
49,flast,action,suit,104697
50,523a2a,person,invent,104697
51,imprint,parti,mcf,104697
52,blockad,mr,test,104697
53,cutner,rule,member,104697
54,901102,see,txo,104697
55,harten,govern,whippl,104697
56,alibi,section,bryar,104697
57,mortgag,error,harrow,104697
58,mission,bill,mission,104697
59,restitut,grant,counsel,104697
60,interview,author,maryland,104697
61,ring,opinion,paper,104697
62,gayman,led2d,survey,104697
63,marriag,requir,torr,104697
64,overflow,gener,maritim,104697
65,schooner,evid,wallac,104697
66,bankruptci,offic,boss,104697
67,poster,use,iii,104697
68,carrier,amend,art,104697
69,scale,corpor,assembl,104697
70,mcmicken,circuit,mcgrew,104697
71,track,commerc,corner,104697
72,subcontractor,sale,power,104697
73,memoranda,new,subject,104697
74,mcf,sup,punit,104697
75,maryland,2,rookerfeldman,104697
76,olymp,mortgag,fda,104697
77,moulor,within,ambler,104697
78,steamship,reason,machin,104697
79,stockhold,decis,corpu,104697
80,seminol,c,florin,104697
81,schiffer,provid,roach,104697
82,partnership,titl,inform,104697
83,feder,indian,shipper,104697
84,communist,part,lpo,104697
85,car,trial,interview,104697
86,reinhart,fact,avenu,104697
87,duebil,caus,challeng,104697
88,pennsylvania,led,fortier,104697
89,sugar,commiss,pennsylvania,104697
90,§1447d,interst,voter,104697
91,bluthenth,issu,nantucket,104697
92,bickart,provis,wiggin,104697
93,land,counti,imprint,104697
94,corpor,subject,ordin,104697
95,samesex,must,act,104697
96,zone,proceed,religion,104697
97,cattl,make,latch,104697
98,survey,without,boe,104697
99,paso,interest,marshal,104697
100,tobi,could,ga,104697
101,norfolkhampton,juri,sargeant,104697
102,deport,also,peopl,104697
103,water,purpos,campbel,104697
104,cawood,citi,redeem,104697
105,wmata,carrier,freight,104697
106,arrest,charg,furnish,104697
107,inmat,regul,hubbard,104697
108,seed,alleg,harter,104697
109,randon,limit,el,104697
110,sammon,applic,young,104697
111,street,commission,523a2a,104697
112,riparian,3,f2d,104697
113,standbi,justic,defens,104697
114,school,except,foreclosur,104697
115,wharfag,whether,901102,104697
116,perrott,stat,cutner,104697
117,releas,year,search,104697
118,diseas,counsel,1907,104697
119,warrant,rate,debt,104697
120,swamp,decid,perin,104697
121,venu,suprem,ratif,104697
122,translat,public,harten,104697
123,covington,rep,duebil,104697
124,peddler,respond,flast,104697
125,railroad,present,claim,104697
126,postmast,line,plant,104697
127,coord,effect,governor,104697
128,348073,employ,mortgage,104697
129,348072,duti,religi,104697
130,cca,first,memphi,104697
131,punit,held,gayman,104697
132,indig,amount,alibi,104697
133,religi,servic,wager,104697
134,contract,record,instrument,104697
