,names,dates,url
0,Corralitos Co. v. United States,1900-05-28,https://www.courtlistener.com/opinion/95299/corralitos-co-v-united-states/
1,Liggett & Myers Co. v. United States,1937-01-04,https://www.courtlistener.com/opinion/102731/liggett-myers-co-v-united-states/
2,Agins v. City of Tiburon,1980-06-10,https://www.courtlistener.com/opinion/110299/agins-v-city-of-tiburon/
3,Citizens' Bank v. Parker,1904-01-04,https://www.courtlistener.com/opinion/95978/citizens-bank-v-parker/
4,Chouteau v. Gibson,1884-03-31,https://www.courtlistener.com/opinion/91101/chouteau-v-gibson/
5,"United States v. St. Louis, SF & TR Co.",1926-01-18,https://www.courtlistener.com/opinion/100773/united-states-v-st-louis-sf-tr-co/
6,BE&K Constr. Co. v. NLRB,2002-06-24,https://www.courtlistener.com/opinion/121163/bek-constr-co-v-nlrb/
7,"Morgan v. Beloit, City and Town",1869-03-22,https://www.courtlistener.com/opinion/88050/morgan-v-beloit-city-and-town/
8,Sheppard v. Maxwell,1966-06-06,https://www.courtlistener.com/opinion/107247/sheppard-v-maxwell/
9,Stark v. Starrs,1868-04-18,https://www.courtlistener.com/opinion/87931/stark-v-starrs/
10,Argentine Min. Co. v. Terrible Min. Co. 1,1887-05-27,https://www.courtlistener.com/opinion/91999/argentine-min-co-v-terrible-min-co-1/
