,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,torr,court,territori,118236
1,territori,state,torr,118236
2,popul,case,popul,118236
3,901102,v,901102,118236
4,reinhart,act,action,118236
5,corpor,law,prison,118236
6,acr,defend,reinhart,118236
7,nitrat,upon,releas,118236
8,patent,sct,court,118236
9,releas,action,nitrat,118236
10,translat,territori,rate,118236
11,peddler,us,peddler,118236
12,carrier,jurisdict,acr,118236
13,petitionervflorida,plaintiff,translat,118236
14,calexico,land,petitionervflorida,118236
15,opium,unit,calexico,118236
16,peoria,said,opium,118236
17,kalaupapa,feder,kalaupapa,118236
18,habea,led2d,1922,118236
19,land,claim,mexico,118236
20,executor,district,peoria,118236
21,intrevact,rate,assembl,118236
22,prison,made,intrevact,118236
23,eleventh,suit,defend,118236
24,1922,would,eleventh,118236
25,corpu,corpor,jurisdict,118236
26,bid,torr,executor,118236
27,minneapoli,popul,law,118236
28,board,contract,minneapoli,118236
29,lewi,compani,mallori,118236
30,mallori,prison,led2d,118236
31,alimoni,order,carrier,118236
32,motor,servic,summon,118236
33,duress,grant,alimoni,118236
34,assembl,one,habea,118236
35,rate,may,bid,118236
36,barber,trial,servic,118236
37,governor,right,governor,118236
38,leper,person,lewi,118236
39,divorc,properti,duress,118236
40,polic,releas,feder,118236
41,action,carrier,corpu,118236
42,1905,1,leper,118236
43,alvarado,§,barber,118236
44,mccoy,evid,motor,118236
45,trust,author,alvarado,118236
46,bond,new,mccoy,118236
47,testatrix,opinion,1905,118236
48,juror,901102,sct,118236
49,domest,statut,legislatur,118236
50,refugio,time,refugio,118236
51,flook,acr,flook,118236
52,mortgag,co,testatrix,118236
53,court,question,marshal,118236
54,rout,offic,missouri,118236
55,mold,shall,divorc,118236
56,labor,judgment,corpor,118236
57,remov,constitut,mold,118236
58,schacht,see,upon,118236
59,jeopardi,patent,domest,118236
60,ton,reinhart,suit,118236
61,licens,proceed,schacht,118236
62,1756,petition,1756,118236
63,defend,sale,varianc,118236
64,jurisdict,process,loui,118236
65,discharg,requir,grant,118236
66,gift,mexico,state,118236
67,robberi,power,bar,118236
68,feder,congress,process,118236
