,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,flaglor,court,bond,92252
1,bemiss,state,respond,92252
2,helium,v,water,92252
3,arbitr,case,appeal,92252
4,subclaus,act,california,92252
5,rapley,unit,land,92252
6,leetch,compani,petition,92252
7,ton,upon,libel,92252
8,elleri,land,children,92252
9,hamlin,law,admiralti,92252
10,fsia,tax,pacif,92252
11,cfc,sct,court,92252
12,toolco,appeal,search,92252
13,pacif,u,motion,92252
14,konigsberg,right,fire,92252
15,lagrang,us,child,92252
16,coupon,§,evid,92252
17,prowel,petition,texa,92252
18,thompkin,defend,mr,92252
19,search,said,paint,92252
20,lorick,district,question,92252
21,rillieux,would,dividend,92252
22,otter,claim,flaglor,92252
23,bridg,may,damag,92252
24,township,properti,territori,92252
25,wrench,plaintiff,compani,92252
26,whiski,question,herd,92252
27,contracept,l,vacat,92252
28,bank,bond,widow,92252
29,parol,jurisdict,brand,92252
30,school,mr,secretari,92252
31,paint,error,bemiss,92252
32,wiggin,judgment,jurisdict,92252
33,morgan,made,helium,92252
34,davisbacon,respond,bridg,92252
35,signatori,contract,univers,92252
36,vanetta,decre,subclaus,92252
37,territori,evid,earn,92252
38,cluett,statut,benefit,92252
39,traver,feder,rapley,92252
40,icc,one,appelle,92252
41,restaur,shall,dool,92252
42,rodney,co,leetch,92252
43,ga,ed,adamson,92252
44,bankruptci,constitut,toll,92252
45,bodley,ct,minn,92252
46,keen,railroad,icc,92252
47,censu,rule,juri,92252
48,scheffer,juri,jeopardi,92252
49,sentenc,1,hearsay,92252
50,senat,order,district,92252
51,thread,trial,trial,92252
52,distil,requir,notic,92252
53,dividend,fact,coupon,92252
54,bond,interest,elleri,92252
55,indian,power,father,92252
56,ir,author,senat,92252
57,helm,person,toolco,92252
58,fare,sup,whiski,92252
59,opelika,suit,keen,92252
60,dresser,opinion,renew,92252
61,hardaway,offic,cfc,92252
62,mirzay,decis,hamlin,92252
63,kiewit,proceed,blake,92252
64,slave,new,fsia,92252
65,vendo,section,prowel,92252
66,colorado,see,lagrang,92252
67,lord,circuit,ga,92252
68,dool,led2d,thompkin,92252
69,widow,govern,decre,92252
70,stretcher,action,lorick,92252
71,maker,congress,konigsberg,92252
72,phinney,corpor,setoff,92252
73,deed,appel,appel,92252
74,guidelin,issu,otter,92252
75,incom,gener,ah,92252
76,spald,time,rillieux,92252
77,euryal,parti,hear,92252
78,apprais,justic,1848,92252
79,depositor,use,tug,92252
80,scrip,counti,stretcher,92252
81,stillman,led,plantat,92252
82,tax,present,rodney,92252
83,setoff,sale,vanetta,92252
84,fpc,motion,thread,92252
85,land,writ,engin,92252
86,montgomeri,2,davisbacon,92252
87,firearm,rep,submerg,92252
88,red,grant,opelika,92252
89,cotton,make,net,92252
90,entri,caus,collar,92252
91,choctaw,suprem,distil,92252
92,religi,citi,wrench,92252
93,alaska,reason,interest,92252
94,invest,provid,cluett,92252
95,counti,c,murder,92252
96,deduct,board,contracept,92252
97,ah,whether,present,92252
98,twa,water,signatori,92252
99,copyright,purpos,bodley,92252
100,bankrupt,within,wiggin,92252
