,names,dates,url
0,National Accident Soc. v. Spiro,1896-11-30,https://www.courtlistener.com/opinion/94540/national-accident-soc-v-spiro/
1,Continental Trust Co. v. Chi. Title Co.,1913-06-10,https://www.courtlistener.com/opinion/97933/continental-trust-co-v-chi-title-co/
2,St. Paul Plough Works v. Starling,1888-05-14,https://www.courtlistener.com/opinion/92261/st-paul-plough-works-v-starling/
3,Harris v. Dennie,1830-02-22,https://www.courtlistener.com/opinion/85675/harris-v-dennie/
4,Moore v. Brown,1851-03-11,https://www.courtlistener.com/opinion/86653/moore-v-brown/
5,United States v. Louisiana,1966-01-17,https://www.courtlistener.com/opinion/107136/united-states-v-louisiana/
6,United States v. Dawson,1854-01-31,https://www.courtlistener.com/opinion/86846/united-states-v-dawson/
7,Coleman v. Thompson,1991-09-13,https://www.courtlistener.com/opinion/112640/coleman-v-thompson/
8,American Bible Soc. v. Price,1884-01-07,https://www.courtlistener.com/opinion/90996/american-bible-soc-v-price/
9,Stearns v. The United States,1867-04-18,https://www.courtlistener.com/opinion/87753/stearns-v-the-united-states/
10,United States v. Grand River Dam Authority,1960-06-13,https://www.courtlistener.com/opinion/106068/united-states-v-grand-river-dam-authority/
11,Mitchell v. McClure,1900-05-28,https://www.courtlistener.com/opinion/95322/mitchell-v-mcclure/
12,"Braniff Airways, Inc. v. Nebraska Bd. of Equalization and Assessment",1954-06-01,https://www.courtlistener.com/opinion/105230/braniff-airways-inc-v-nebraska-bd-of-equalization-and-assessment/
13,Schooner Paulina's Cargo v. United States,1812-02-21,https://www.courtlistener.com/opinion/84970/schooner-paulinas-cargo-v-united-states/
14,United States v. Barnett,1964-06-08,https://www.courtlistener.com/opinion/106792/united-states-v-barnett/
15,"Porterfield v. Webb, Attorney General of California",1923-11-12,https://www.courtlistener.com/opinion/100288/porterfield-v-webb-attorney-general-of-california/
16,Merritt v. United States,1925-03-02,https://www.courtlistener.com/opinion/100593/merritt-v-united-states/
17,Latta v. Granger,1897-05-10,https://www.courtlistener.com/opinion/94697/latta-v-granger/
18,Robertson v. Wegmann,1978-05-31,https://www.courtlistener.com/opinion/109877/robertson-v-wegmann/
19,"Long Island Care at Home, Ltd. v. Coke",2007-06-11,https://www.courtlistener.com/opinion/145717/long-island-care-at-home-ltd-v-coke/
20,Mohr v. Manierre,1880-05-10,https://www.courtlistener.com/opinion/90144/mohr-v-manierre/
21,Sioux City Railroad v. Chicago Railway,1886-04-05,https://www.courtlistener.com/opinion/91623/sioux-city-railroad-v-chicago-railway/
22,United States v. Hailey,1886-05-10,https://www.courtlistener.com/opinion/91692/united-states-v-hailey/
23,"Nashville, C. & St. LR Co. v. Browning",1940-05-20,https://www.courtlistener.com/opinion/103360/nashville-c-st-lr-co-v-browning/
24,Armstrong v. Toler,1826-03-18,https://www.courtlistener.com/opinion/85492/armstrong-v-toler/
25,Trono v. United States,1905-12-04,https://www.courtlistener.com/opinion/96361/trono-v-united-states/
26,Foppiano v. Speed,1905-12-04,https://www.courtlistener.com/opinion/96360/foppiano-v-speed/
27,Goodell v. Koch,1930-11-24,https://www.courtlistener.com/opinion/101622/goodell-v-koch/
28,McMillen v. Anderson,1877-10-22,https://www.courtlistener.com/opinion/89559/mcmillen-v-anderson/
29,United States v. Dalcour,1906-12-03,https://www.courtlistener.com/opinion/96539/united-states-v-dalcour/
30,Trinityfarm Constr. Co. v. Grosjean,1934-03-05,https://www.courtlistener.com/opinion/102219/trinityfarm-constr-co-v-grosjean/
31,Hartford Accident Co. v. Nelson Co.,1934-02-05,https://www.courtlistener.com/opinion/102210/hartford-accident-co-v-nelson-co/
32,Weinberger v. Salfi,1975-06-26,https://www.courtlistener.com/opinion/109308/weinberger-v-salfi/
33,McGowan v. American Pressed Tan Bark Co.,1887-05-02,https://www.courtlistener.com/opinion/91949/mcgowan-v-american-pressed-tan-bark-co/
34,United States v. 200 Barrels of Whiskey,1877-12-18,https://www.courtlistener.com/opinion/89635/united-states-v-200-barrels-of-whiskey/
35,Hunt v. Crumboch,1945-06-18,https://www.courtlistener.com/opinion/104173/hunt-v-crumboch/
36,Babcock v. Wyman,1857-02-18,https://www.courtlistener.com/opinion/87094/babcock-v-wyman/
37,United States v. Gilman,1954-05-17,https://www.courtlistener.com/opinion/105224/united-states-v-gilman/
38,United States v. Borden Co.,1954-05-17,https://www.courtlistener.com/opinion/105225/united-states-v-borden-co/
39,Sheldon v. Metro-Goldwyn Pictures Corp.,1940-03-25,https://www.courtlistener.com/opinion/103317/sheldon-v-metro-goldwyn-pictures-corp/
40,Mayo v. Lakeland Highlands Canning Co.,1940-02-26,https://www.courtlistener.com/opinion/103310/mayo-v-lakeland-highlands-canning-co/
41,Delmar Jockey Club v. Missouri,1908-06-01,https://www.courtlistener.com/opinion/96870/delmar-jockey-club-v-missouri/
42,Shelton v. United States,1953-06-15,https://www.courtlistener.com/opinion/105153/shelton-v-united-states/
43,Nebraska v. Wyoming,1995-05-30,https://www.courtlistener.com/opinion/117940/nebraska-v-wyoming/
44,JapanWhaling Assn. v. American Cetacean Soc.,1986-06-30,https://www.courtlistener.com/opinion/111739/japanwhaling-assn-v-american-cetacean-soc/
45,Davis v. Bandemer,1986-06-30,https://www.courtlistener.com/opinion/111737/davis-v-bandemer/
46,Thornburg v. Gingles,1986-06-30,https://www.courtlistener.com/opinion/111736/thornburg-v-gingles/
47,North Carolina v. Butler,1979-04-24,https://www.courtlistener.com/opinion/110065/north-carolina-v-butler/
48,Chrysler Corp. v. Brown,1979-04-18,https://www.courtlistener.com/opinion/110062/chrysler-corp-v-brown/
49,In Re Ingalls,1891-04-13,https://www.courtlistener.com/opinion/93038/in-re-ingalls/
50,American Steel & Wire Co. v. Speed,1904-02-23,https://www.courtlistener.com/opinion/96009/american-steel-wire-co-v-speed/
51,House v. Mayes,1911-01-09,https://www.courtlistener.com/opinion/97350/house-v-mayes/
52,Smith v. Jackson,1918-04-15,https://www.courtlistener.com/opinion/99133/smith-v-jackson/
53,Pendleton v. Benner Line,1918-03-25,https://www.courtlistener.com/opinion/99131/pendleton-v-benner-line/
54,Guaranty Trust Co. v. Blodgett,1933-01-09,https://www.courtlistener.com/opinion/102004/guaranty-trust-co-v-blodgett/
55,"Costco Wholesale Corp. v. Omega, S. A.",2010-12-13,https://www.courtlistener.com/opinion/180910/costco-wholesale-corp-v-omega-s-a/
56,Mrvica v. Esperdy,1964-03-30,https://www.courtlistener.com/opinion/106785/mrvica-v-esperdy/
57,Hamilton v. Alabama,1964-03-30,https://www.courtlistener.com/opinion/106789/hamilton-v-alabama/
58,Bull v. Bank of Kasson,1887-10-31,https://www.courtlistener.com/opinion/92029/bull-v-bank-of-kasson/
59,Hardy v. Cross,2011-12-12,https://www.courtlistener.com/opinion/618679/hardy-v-cross/
60,City of Opelika v. Opelika Sewer Co.,1924-05-26,https://www.courtlistener.com/opinion/1096222/city-of-opelika-v-opelika-sewer-co/
61,West v. Cochran,1855-02-18,https://www.courtlistener.com/opinion/86938/west-v-cochran/
62,Hinkle v. Wanzer,1855-03-18,https://www.courtlistener.com/opinion/86935/hinkle-v-wanzer/
63,Burchell v. Marsh,1855-01-30,https://www.courtlistener.com/opinion/86934/burchell-v-marsh/
64,Adams Express Co. v. Ohio State Auditor,1897-02-01,https://www.courtlistener.com/opinion/94597/adams-express-co-v-ohio-state-auditor/
65,Addington v. United States,1897-02-01,https://www.courtlistener.com/opinion/94595/addington-v-united-states/
66,Reily v. Lámar,1805-02-19,https://www.courtlistener.com/opinion/84790/reily-v-lamar/
67,Cornett v. Williams,1874-03-30,https://www.courtlistener.com/opinion/88938/cornett-v-williams/
68,United States v. Morris,1840-02-28,https://www.courtlistener.com/opinion/86151/united-states-v-morris/
69,United States v. Heirs of Waterman,1840-03-18,https://www.courtlistener.com/opinion/86152/united-states-v-heirs-of-waterman/
70,Seaboard Air Line R. Co. v. North Carolina,1917-11-07,https://www.courtlistener.com/opinion/99041/seaboard-air-line-r-co-v-north-carolina/
71,Union Pacific R. Co. v. Mason City & Fort Dodge R. Co.,1905-11-06,https://www.courtlistener.com/opinion/96332/union-pacific-r-co-v-mason-city-fort-dodge-r-co/
72,Hort v. Commissioner,1941-03-31,https://www.courtlistener.com/opinion/103504/hort-v-commissioner/
73,Sparf v. United States,1895-01-21,https://www.courtlistener.com/opinion/94082/sparf-v-united-states/
74,Hershfield v. Griffith,1874-05-18,https://www.courtlistener.com/opinion/88846/hershfield-v-griffith/
75,Peckham v. Henkel,1910-02-21,https://www.courtlistener.com/opinion/97193/peckham-v-henkel/
76,"Dominion Hotel, Inc. v. Arizona",1919-03-24,https://www.courtlistener.com/opinion/99330/dominion-hotel-inc-v-arizona/
77,American Mfrs. Mut. Ins. Co. v. Sullivan,1999-05-24,https://www.courtlistener.com/opinion/118268/american-mfrs-mut-ins-co-v-sullivan/
78,United States v. Poland,1920-01-05,https://www.courtlistener.com/opinion/99489/united-states-v-poland/
79,Hamilton v. Kentucky Distilleries & Warehouse Co.,1919-12-15,https://www.courtlistener.com/opinion/99481/hamilton-v-kentucky-distilleries-warehouse-co/
80,United States v. Board of Supervisors of Warren Cty.,1977-02-22,https://www.courtlistener.com/opinion/109595/united-states-v-board-of-supervisors-of-warren-cty/
