,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,braxton,court,sentenc,92016
1,judah,state,governor,92016
2,4208b,v,braxton,92016
3,plate,case,railroad,92016
4,baca,compani,judah,92016
5,littlefield,land,decre,92016
6,landgrant,act,4208b,92016
7,tire,decre,baca,92016
8,thurber,railroad,littlefield,92016
9,teacher,tax,plate,92016
10,armour,said,grant,92016
11,crump,law,landgrant,92016
12,hooper,upon,tire,92016
13,bridg,petition,thurber,92016
14,patton,district,teacher,92016
15,sentenc,§,crump,92016
16,wyom,sentenc,armour,92016
17,ayr,grant,hooper,92016
18,whiskey,defend,patton,92016
19,state,unit,ayr,92016
20,damag,properti,wyom,92016
21,probat,u,bridg,92016
22,stafford,plaintiff,whiskey,92016
23,rout,sct,survey,92016
24,tia,made,rout,92016
25,zwickler,may,deposit,92016
26,insur,one,mortgag,92016
27,puerto,us,stafford,92016
28,oklahoma,power,tia,92016
29,avuls,board,zwickler,92016
30,senior,contract,board,92016
31,bunker,parti,school,92016
32,tax,jurisdict,navig,92016
33,greyhound,right,avuls,92016
34,survey,judgment,bunker,92016
35,mark,would,river,92016
36,despatch,governor,puerto,92016
37,ebenez,claim,despatch,92016
38,jurat,shall,greyhound,92016
39,board,statut,prohibit,92016
40,cattleguard,mortgag,damag,92016
41,feed,govern,ebenez,92016
42,railroad,circuit,senior,92016
43,rubber,damag,jurat,92016
44,southcomb,appeal,cattleguard,92016
45,arbitr,co,assess,92016
46,handbil,writ,wiswal,92016
47,car,constitut,petition,92016
48,wiswal,section,southcomb,92016
49,rico,author,feed,92016
50,governor,new,probat,92016
51,conic,error,handbil,92016
52,wicomico,see,admiralti,92016
53,prohibit,insur,land,92016
54,deposit,sup,wicomico,92016
55,claffi,1,conic,92016
56,liquor,rep,claffi,92016
57,indict,assess,rubber,92016
58,5010,braxton,insur,92016
59,petition,time,5010,92016
60,bond,fact,la,92016
61,folio,suit,congressman,92016
62,pacif,survey,oklahoma,92016
63,court,bond,mark,92016
64,offens,ct,folio,92016
65,admiralti,issu,patterson,92016
66,libel,river,road,92016
67,patterson,judah,dawson,92016
68,dawson,also,open,92016
69,maa,term,maa,92016
70,mortgag,construct,fenc,92016
71,1891,led2d,district,92016
72,8bb,deposit,pacif,92016
73,grievanc,order,channel,92016
74,reissu,4208b,8bb,92016
75,congressman,petit,suspend,92016
76,§,plate,marshal,92016
77,search,2,construct,92016
78,yard,execut,rico,92016
79,wilson,mr,shipment,92016
80,la,caus,wilson,92016
81,said,question,veteran,92016
82,coal,requir,101,92016
83,talbott,interest,liquor,92016
84,leas,baca,1981,92016
85,hoist,possess,grievanc,92016
86,levi,littlefield,talbott,92016
87,assess,prohibit,restor,92016
88,1981,bridg,case,92016
89,compensatori,school,compensatori,92016
90,anonym,amount,1991,92016
91,feedrol,use,leasehold,92016
92,memorialist,rule,hoist,92016
93,mississippi,file,cuba,92016
94,cuba,congress,daniel,92016
95,supersedea,landgrant,feedrol,92016
96,taylor,provid,memorialist,92016
97,wisconsin,tire,1891,92016
98,trade,proceed,collect,92016
99,decre,present,libel,92016
100,1991,without,anonym,92016
101,carey,navig,tax,92016
102,lomeria,respond,lomeria,92016
103,needl,teacher,door,92016
104,land,road,yard,92016
105,fenc,public,stipul,92016
106,texa,origin,origin,92016
107,specialti,thurber,execut,92016
108,slave,commission,carey,92016
109,veteran,evid,needl,92016
110,daniel,corpor,arbitr,92016
111,newark,action,specialti,92016
112,flang,purpos,baltimor,92016
113,navig,sale,taylor,92016
114,banana,part,milwauke,92016
115,compani,agreement,parti,92016
116,franchis,could,reissu,92016
117,channel,armour,bay,92016
118,grant,rout,mechan,92016
119,8c,c,said,92016
120,writ,crump,banana,92016
121,101,convict,power,92016
122,school,hooper,angl,92016
123,donovan,titl,flang,92016
124,baltimor,collect,8c,92016
125,leasehold,alleg,coam,92016
126,coam,show,supersedea,92016
127,ohara,within,lesse,92016
128,norrislaguardia,citi,newark,92016
129,meatpack,patton,leidesdorff,92016
130,leidesdorff,report,possess,92016
131,norfolk,due,meatpack,92016
132,case,ayr,ohara,92016
133,island,wyom,donovan,92016
134,lesse,opinion,worker,92016
135,merchandis,bill,claimant,92016
136,contract,reason,boundari,92016
137,benedict,3,levi,92016
138,retroact,must,writ,92016
139,build,person,convict,92016
140,jersey,ed,injuri,92016
141,gertrud,amend,compani,92016
142,sutter,whether,norrislaguardia,92016
143,stipul,motion,term,92016
144,department,follow,eastern,92016
145,underwrit,line,proof,92016
146,rep,day,report,92016
147,rate,admiralti,gertrud,92016
148,ice,trial,wisconsin,92016
149,sct,complain,pend,92016
150,taxpay,make,1896,92016
151,plaintiff,judg,benedict,92016
152,jurisdict,first,77,92016
153,strike,whiskey,sutter,92016
154,report,might,offens,92016
155,maryland,return,retail,92016
156,murray,counti,texa,92016
157,river,justic,1b12a,92016
158,1b12a,claimant,norfolk,92016
159,speech,decis,loss,92016
160,textil,open,return,92016
161,refere,gener,coglin,92016
162,swamp,commerc,department,92016
163,coglin,5,murray,92016
164,rent,injuri,rep,92016
165,retail,entitl,talti,92016
166,talti,valu,ocean,92016
167,goldsmith,probat,walker,92016
168,refriger,id,schutt,92016
169,schutt,4,mule,92016
170,florida,taken,agreement,92016
171,stolen,employ,dryfoo,92016
172,claimant,l,textil,92016
173,assembl,held,slave,92016
