,names,dates,url
0,Hathaway v. First Nat. Bank of Cambridge,1890-03-31,https://www.courtlistener.com/opinion/92748/hathaway-v-first-nat-bank-of-cambridge/
1,Mexican Central R. Co. v. Duthie,1903-04-13,https://www.courtlistener.com/opinion/95827/mexican-central-r-co-v-duthie/
2,Driesbach v. National Bank,1881-11-18,https://www.courtlistener.com/opinion/90422/driesbach-v-national-bank/
3,"United States Ex Rel. Trask v. Wanamaker, Postmaster General",1893-01-09,https://www.courtlistener.com/opinion/93479/united-states-ex-rel-trask-v-wanamaker-postmaster-general/
4,Salina Stock Co. v. Salina Creek Irrigation Co.,1896-05-18,https://www.courtlistener.com/opinion/94469/salina-stock-co-v-salina-creek-irrigation-co/
5,Illinois v. Lidster,2004-01-13,https://www.courtlistener.com/opinion/131154/illinois-v-lidster/
6,Beaubien v. Beaubien,1860-03-26,https://www.courtlistener.com/opinion/87326/beaubien-v-beaubien/
7,United States v. Witten,1892-02-01,https://www.courtlistener.com/opinion/93255/united-states-v-witten/
8,State Tax on Railway Gross Receipts. Reading Railroad Company v. Pennsylvania,1873-03-18,https://www.courtlistener.com/opinion/88607/state-tax-on-railway-gross-receipts-reading-railroad-company-v/
9,Willison v. Watkins,1830-02-20,https://www.courtlistener.com/opinion/85661/willison-v-watkins/
10,Groman v. Commissioner,1937-11-08,https://www.courtlistener.com/opinion/102856/groman-v-commissioner/
11,PUB. UTIL. COMM'N v. United Air Lines,1953-12-07,https://www.courtlistener.com/opinion/105169/pub-util-commn-v-united-air-lines/
12,Anicker v. Gunsburg,1918-03-04,https://www.courtlistener.com/opinion/99100/anicker-v-gunsburg/
13,Mayor of Mobile v. Eslava,1842-02-15,https://www.courtlistener.com/opinion/86210/mayor-of-mobile-v-eslava/
14,Mechanics' Bank of Alexandria v. Withers,1821-02-18,https://www.courtlistener.com/opinion/85313/mechanics-bank-of-alexandria-v-withers/
