,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,state,court,state,104441
1,mine,state,sct,104441
2,district,v,us,104441
3,power,case,v,104441
4,school,us,district,104441
5,law,act,see,104441
6,court,law,court,104441
7,boundari,sct,§,104441
8,tax,unit,right,104441
9,bank,may,may,104441
10,congress,would,amend,104441
11,land,upon,petition,104441
12,right,right,religi,104441
13,import,§,led,104441
14,castillero,see,act,104441
15,v,said,interest,104441
16,lot,one,power,104441
17,vote,claim,constitut,104441
18,water,made,would,104441
19,possess,district,unit,104441
20,broadcast,defend,statut,104441
21,presid,question,action,104441
22,grant,constitut,claim,104441
23,religi,requir,led2d,104441
24,made,statut,provid,104441
25,oliv,shall,regul,104441
26,us,power,congress,104441
27,titl,feder,id,104441
28,sct,judgment,feder,104441
29,regul,1,supra,104441
30,citi,rule,properti,104441
31,commerc,time,govern,104441
32,act,opinion,shall,104441
33,may,compani,also,104441
34,case,congress,order,104441
35,led,u,first,104441
36,street,use,protect,104441
37,parti,order,citi,104441
38,baum,author,opinion,104441
39,texa,govern,rule,104441
40,immun,properti,law,104441
41,compani,appeal,immun,104441
42,machin,led,employe,104441
43,claimant,person,commerc,104441
44,habea,also,public,104441
45,one,whether,effect,104441
46,feder,action,decis,104441
47,union,provid,school,104441
48,lock,gener,whether,104441
49,polit,petition,polit,104441
50,§,co,judgment,104441
51,fish,part,program,104441
52,author,land,time,104441
53,u,fact,part,104441
54,document,2,gener,104441
55,said,evid,mine,104441
56,rule,new,purpos,104441
57,commiss,interest,texa,104441
58,program,reason,sale,104441
59,public,amend,prohibit,104441
60,sovereign,decis,limit,104441
61,plan,must,plan,104441
62,paper,plaintiff,administr,104441
63,govern,issu,use,104441
64,constitut,parti,subject,104441
65,hast,could,case,104441
66,forfeitur,within,attorney,104441
67,merger,first,procedur,104441
68,forb,make,land,104441
69,polici,justic,even,104441
70,suit,purpos,speech,104441
71,licens,tax,religion,104441
72,counti,public,appli,104441
73,interest,led2d,merger,104441
74,indian,section,includ,104441
75,shoe,without,death,104441
76,tribal,effect,one,104441
77,incom,3,author,104441
78,see,mr,import,104441
79,exclus,jurisdict,entitl,104441
80,evid,provis,mortgag,104441
81,commission,held,vote,104441
82,plant,present,fee,104441
83,unit,proceed,local,104441
84,alcald,grant,requir,104441
85,sentenc,subject,group,104441
86,patent,limit,bill,104441
87,copi,respond,louisiana,104441
88,discrimin,id,juri,104441
89,foreign,c,must,104441
90,petition,suit,bank,104441
91,upon,determin,union,104441
92,alien,contract,question,104441
93,juri,offic,reserv,104441
94,testimoni,regul,howev,104441
95,date,appli,commun,104441
96,id,year,issu,104441
97,student,two,evid,104441
98,common,applic,establish,104441
99,miner,trial,consid,104441
100,jurisdict,4,suit,104441
101,offer,caus,7,104441
102,tribe,juri,respect,104441
103,church,term,student,104441
104,fee,5,instruct,104441
105,admiss,protect,licens,104441
106,turner,bill,legisl,104441
107,amend,citi,hold,104441
108,squar,supra,applic,104441
109,parent,follow,standard,104441
110,mexico,file,clear,104441
111,two,circuit,remedi,104441
112,ga,commiss,sovereign,104441
113,would,respect,chang,104441
114,convent,even,result,104441
115,injunct,mean,estat,104441
116,decre,n,2,104441
117,magistr,record,church,104441
118,price,l,claus,104441
119,abort,titl,activ,104441
120,war,receiv,purchas,104441
121,island,error,penri,104441
122,seizur,therefor,permit,104441
123,junta,consid,tribe,104441
124,market,find,lot,104441
125,racial,might,less,104441
126,also,decid,argument,104441
127,kansa,bank,nation,104441
128,mr,j,conduct,104441
129,inclus,howev,boundari,104441
130,sanction,except,view,104441
131,time,found,restrict,104441
132,first,charg,1,104441
133,railroad,establish,agenc,104441
134,treati,ed,commiss,104441
135,sale,6,compens,104441
136,search,violat,benefit,104441
137,appeal,hold,test,104441
138,releas,7,educ,104441
139,shall,sale,washington,104441
140,arbitr,corpor,support,104441
141,test,employ,univers,104441
142,subject,matter,depart,104441
143,afla,amount,releas,104441
144,offic,note,exercis,104441
145,traci,view,sanction,104441
146,marihuana,judg,matter,104441
147,opinion,direct,maritim,104441
148,juror,differ,commerci,104441
149,privileg,thu,concern,104441
150,race,legisl,appel,104441
151,use,nation,health,104441
152,claim,place,person,104441
153,supervis,includ,civil,104441
154,death,alleg,lien,104441
155,car,given,injunct,104441
156,writ,oper,discrimin,104441
157,j,take,substanti,104441
158,delawar,servic,could,104441
159,action,board,j,104441
160,letter,give,concur,104441
161,picket,show,litig,104441
162,group,result,two,104441
163,icc,ground,award,104441
164,vessel,8,within,104441
165,three,10,document,104441
166,assess,day,n,104441
167,dilut,appel,ant,104441
168,epa,decre,organ,104441
169,california,claus,mail,104441
170,savag,set,discret,104441
171,board,appear,note,104441
172,properti,point,eg,104441
173,benefit,refer,admiss,104441
174,prohibit,railroad,oper,104441
175,forest,necessari,industri,104441
176,execut,secur,castillero,104441
177,clinic,exist,direct,104441
178,fund,9,privat,104441
179,river,relat,ground,104441
180,privat,suprem,respond,104441
181,discharg,commerc,give,104441
182,statut,object,need,104441
183,trade,due,dissent,104441
184,offici,counti,privileg,104441
185,exercis,review,three,104441
186,educ,consider,3,104441
187,navi,stat,oliv,104441
188,labor,exercis,articl,104441
189,eavesdrop,construct,crimin,104441
190,corpor,duti,origin,104441
191,wit,affirm,special,104441
192,origin,12,broadcast,104441
193,mental,busi,statutori,104441
194,retard,entitl,lock,104441
195,practic,support,u,104441
196,penri,practic,basi,104441
197,dispatch,process,recogn,104441
198,order,execut,station,104441
199,vi,well,exempt,104441
200,judgment,allow,app,104441
201,2,employe,96,104441
202,piatt,argument,habea,104441
203,activ,deni,sentenc,104441
204,r,dissent,mean,104441
205,civil,pay,provis,104441
206,minor,payment,expert,104441
207,flag,p,necessari,104441
208,produc,report,natur,104441
209,petit,origin,mitig,104441
210,widow,valu,free,104441
211,1,11,altern,104441
212,rfra,purchas,find,104441
213,purchas,ct,product,104441
214,latino,certain,congression,104441
215,insur,counsel,et,104441
216,spokan,judici,5,104441
217,brown,patent,build,104441
218,valu,taken,although,104441
219,creation,condit,brown,104441
220,applic,benefit,repres,104441
221,employe,sinc,contain,104441
222,day,pass,conclud,104441
223,could,permit,sound,104441
224,fact,involv,class,104441
225,share,administr,parti,104441
226,univers,possess,debt,104441
227,prosecut,legal,separ,104441
228,chines,natur,period,104441
229,1846,york,equiti,104441
230,7,import,sinc,104441
