,names,dates,url
0,Pullman Co. v. Kansas Ex Rel. Coleman,1910-01-31,https://www.courtlistener.com/opinion/97151/pullman-co-v-kansas-ex-rel-coleman/
1,Smietanka v. Indiana Steel Co.,1921-10-24,https://www.courtlistener.com/opinion/99850/smietanka-v-indiana-steel-co/
2,Randon v. Toby,1851-03-18,https://www.courtlistener.com/opinion/86657/randon-v-toby/
3,Van Buren v. Digges,1851-03-11,https://www.courtlistener.com/opinion/86655/van-buren-v-digges/
4,Prewit v. Wilson,1881-02-28,https://www.courtlistener.com/opinion/90292/prewit-v-wilson/
5,Tennessee v. Condon,1903-04-06,https://www.courtlistener.com/opinion/95825/tennessee-v-condon/
6,United States v. Hamburg-Amerikanische Packetfahrt-Actien Gesellschaft,1916-01-10,https://www.courtlistener.com/opinion/98602/united-states-v-hamburg-amerikanische-packetfahrt-actien-gesellschaft/
7,Elmhurst Cemetery Co. of Joliet v. Commissioner,1937-02-01,https://www.courtlistener.com/opinion/102751/elmhurst-cemetery-co-of-joliet-v-commissioner/
8,David Shriver Junior's Lessee v. Mary Lynn,1844-02-18,https://www.courtlistener.com/opinion/86265/david-shriver-juniors-lessee-v-mary-lynn/
9,Gwin v. Breedlove,1844-01-31,https://www.courtlistener.com/opinion/86264/gwin-v-breedlove/
10,Talbot v. Seeman,1801-08-11,https://www.courtlistener.com/opinion/84754/talbot-v-seeman/
11,Love v. Pullman Co.,1972-01-17,https://www.courtlistener.com/opinion/108433/love-v-pullman-co/
12,Klein v. Insurance Co.,1881-11-18,https://www.courtlistener.com/opinion/90426/klein-v-insurance-co/
13,United States v. Ohio Power Co.,1957-04-01,https://www.courtlistener.com/opinion/105488/united-states-v-ohio-power-co/
14,Cooper v. Dasher,1933-11-06,https://www.courtlistener.com/opinion/102138/cooper-v-dasher/
15,Day v. Micou,1874-01-19,https://www.courtlistener.com/opinion/88803/day-v-micou/
16,Keith v. Clark,1878-12-18,https://www.courtlistener.com/opinion/89817/keith-v-clark/
17,Nye & Nissen v. United States,1949-05-31,https://www.courtlistener.com/opinion/104655/nye-nissen-v-united-states/
18,Rasquin v. Humphreys,1939-11-06,https://www.courtlistener.com/opinion/103233/rasquin-v-humphreys/
19,"SEC v. Capital Gains Research Bureau, Inc.",1963-12-09,https://www.courtlistener.com/opinion/106707/sec-v-capital-gains-research-bureau-inc/
20,Michigan v. Michigan Trust Co.,1932-05-16,https://www.courtlistener.com/opinion/101932/michigan-v-michigan-trust-co/
21,Kohlsaat v. Murphy,1878-05-18,https://www.courtlistener.com/opinion/89689/kohlsaat-v-murphy/
22,United States v. Crosby,1812-02-24,https://www.courtlistener.com/opinion/84977/united-states-v-crosby/
23,Cannon v. University of Chicago,1979-05-14,https://www.courtlistener.com/opinion/110077/cannon-v-university-of-chicago/
24,Holloway v. Arkansas,1978-04-03,https://www.courtlistener.com/opinion/109825/holloway-v-arkansas/
25,Alexander v. United States,1993-06-28,https://www.courtlistener.com/opinion/112902/alexander-v-united-states/
26,Atlantic Coast Line R. Co. v. Davis,1929-02-18,https://www.courtlistener.com/opinion/101393/atlantic-coast-line-r-co-v-davis/
27,Henkel v. Cincinnati,1900-04-09,https://www.courtlistener.com/opinion/2390042/henkel-v-cincinnati/
28,Portuguese-American Bank of San Francisco v. Welles,1916-11-13,https://www.courtlistener.com/opinion/98790/portuguese-american-bank-of-san-francisco-v-welles/
29,Ohio Ex Rel. Clarke v. Deckebach,1927-05-16,https://www.courtlistener.com/opinion/101100/ohio-ex-rel-clarke-v-deckebach/
30,Rose v. Hodges,1975-11-11,https://www.courtlistener.com/opinion/2621078/rose-v-hodges/
31,Pollard v. Lyon,1876-01-10,https://www.courtlistener.com/opinion/89164/pollard-v-lyon/
32,Marcus v. Search Warrant,1961-06-19,https://www.courtlistener.com/opinion/106287/marcus-v-search-warrant/
33,Roosevelt v. Meyer,1863-12-21,https://www.courtlistener.com/opinion/87600/roosevelt-v-meyer/
34,United States v. Cotton,1970-02-24,https://www.courtlistener.com/opinion/108071/united-states-v-cotton/
35,Lascelles v. Georgia,1893-04-10,https://www.courtlistener.com/opinion/93578/lascelles-v-georgia/
36,Weidhorn v. Levy,1920-06-01,https://www.courtlistener.com/opinion/99611/weidhorn-v-levy/
37,Lozman v. Riviera Beach,2013-01-15,https://www.courtlistener.com/opinion/815320/lozman-v-riviera-beach/
38,"Gordon v. New York Stock Exchange, Inc.",1975-06-26,https://www.courtlistener.com/opinion/109306/gordon-v-new-york-stock-exchange-inc/
39,Frost v. Spitley,1887-05-02,https://www.courtlistener.com/opinion/91947/frost-v-spitley/
40,Robinson v. Anderson,1887-05-02,https://www.courtlistener.com/opinion/91944/robinson-v-anderson/
41,Wright v. Roseberry,1887-05-02,https://www.courtlistener.com/opinion/91943/wright-v-roseberry/
42,Metropolitan R. Co. v. Moore,1887-05-02,https://www.courtlistener.com/opinion/91948/metropolitan-r-co-v-moore/
43,McGowan v. American Pressed Tan Bark Co.,1887-05-02,https://www.courtlistener.com/opinion/91949/mcgowan-v-american-pressed-tan-bark-co/
44,Conley v. Barton,1923-01-29,https://www.courtlistener.com/opinion/100108/conley-v-barton/
45,Leigh Ellis & Co. v. Davis,1923-01-29,https://www.courtlistener.com/opinion/100109/leigh-ellis-co-v-davis/
46,Boulware v. United States,2008-03-03,https://www.courtlistener.com/opinion/145826/boulware-v-united-states/
47,Green County v. Conness,1883-10-29,https://www.courtlistener.com/opinion/90905/green-county-v-conness/
48,Williams v. Great Southern Lumber Co.,1928-04-16,https://www.courtlistener.com/opinion/101278/williams-v-great-southern-lumber-co/
49,Heiner v. Tindle,1928-04-09,https://www.courtlistener.com/opinion/101273/heiner-v-tindle/
50,William Cramp & Sons Ship & Engine Building Co. v. United States,1915-11-29,https://www.courtlistener.com/opinion/98571/william-cramp-sons-ship-engine-building-co-v-united-states/
51,Fernandez v. Wiener,1946-02-11,https://www.courtlistener.com/opinion/104202/fernandez-v-wiener/
