,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,colburn,court,patent,90810
1,fmha,state,vessel,90810
2,ferri,v,cargo,90810
3,cochran,case,leas,90810
4,amish,act,use,90810
5,gathmann,upon,water,90810
6,tax,law,manufactur,90810
7,pension,unit,duti,90810
8,ncaa,compani,boundari,90810
9,survey,land,sentenc,90810
10,gold,tax,regul,90810
11,stribl,plaintiff,claimant,90810
12,confess,said,land,90810
13,seminol,sct,vii,90810
14,docket,defend,coin,90810
15,duquesn,us,commerc,90810
16,wool,§,immigr,90810
17,indian,u,tanker,90810
18,tanker,may,iron,90810
19,armco,right,alien,90810
20,rayburn,made,tax,90810
21,alimoni,would,reserv,90810
22,ellenwood,claim,machin,90810
23,juror,error,utah,90810
24,retir,judgment,ferri,90810
25,church,co,retir,90810
26,demurrag,statut,pension,90810
27,iasa,petition,pound,90810
28,veteran,district,state,90810
29,placer,properti,kentucki,90810
30,porter’,one,wool,90810
31,leas,shall,protest,90810
32,ga,contract,strand,90810
33,kragjorgensen,patent,dorr,90810
34,nixon,use,colburn,90810
35,dower,appeal,averag,90810
36,rag,question,new,90810
37,florin,congress,oil,90810
38,crawford,new,orphan,90810
39,postmastergener,mr,cashier,90810
40,rainey,power,women,90810
41,school,feder,charter,90810
42,elector,evid,york,90810
43,hemp,order,church,90810
44,sentenc,constitut,testifi,90810
45,trooper,requir,year,90810
46,patent,time,barri,90810
47,erwin,jurisdict,freight,90810
48,vartela,l,river,90810
49,oleomargarin,author,idaho,90810
50,egg,decre,valu,90810
51,marbl,1,cochran,90810
52,water,see,alimoni,90810
53,courtnay,rule,ship,90810
54,maitland,ct,indian,90810
55,disinfect,led2d,seminol,90810
56,heublein,within,irrig,90810
57,search,person,invoic,90810
58,potomac,action,assessor,90810
59,escheat,section,prison,90810
60,kentucki,corpor,busi,90810
61,advertis,offic,writ,90810
62,beeper,opinion,repres,90810
63,garden,bond,fmha,90810
64,invoic,govern,invent,90810
65,grabiron,railroad,congress,90810
66,willingboro,writ,age,90810
67,arrest,juri,juror,90810
68,seymour,fact,demurrag,90810
69,corin,caus,motion,90810
70,alabama,issu,postmastergener,90810
71,bent,trial,thoma,90810
72,drawbaugh,suprem,1894,90810
73,emori,provid,florida,90810
74,cooker,ed,made,90810
