,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,chicori,court,patent,96819
1,squier,state,suit,96819
2,baal,v,properti,96819
3,arbitr,case,certif,96819
4,wenzel,act,claimant,96819
5,dispensari,upon,work,96819
6,reinhard,unit,estat,96819
7,softlit,law,creditor,96819
8,lesag,compani,oath,96819
9,gumaer,plaintiff,ordin,96819
10,crudup,defend,engin,96819
11,gomila,sct,street,96819
12,stoddart,land,regul,96819
13,penri,said,machin,96819
14,juvenil,us,san,96819
15,ch,tax,equiti,96819
16,nixdorff,u,rent,96819
17,deport,§,bankruptci,96819
18,schreyer,may,offic,96819
19,anastaplo,right,sect,96819
20,hardi,properti,interst,96819
21,wesenberg,judgment,citi,96819
22,paper,claim,upon,96819
23,blockad,made,settlement,96819
24,pilot,would,judgment,96819
25,polygraph,district,lot,96819
26,induct,error,broker,96819
27,canalboat,appeal,mandamu,96819
28,hose,l,rate,96819
29,adden,petition,said,96819
30,tsc,statut,fee,96819
31,sipperley,co,parti,96819
32,sipc,shall,land,96819
33,brereton,contract,injunct,96819
34,cigar,one,roller,96819
35,church,jurisdict,refere,96819
36,fmcc,ct,missouri,96819
37,menard,question,commission,96819
38,nye,order,assigne,96819
39,airco,mr,alien,96819
40,vint,section,plaintiff,96819
41,scholfield,decre,loan,96819
42,ordway,ed,bill,96819
43,cork,1,inventor,96819
44,helium,feder,usuri,96819
45,vs,constitut,duti,96819
46,sunkist,action,pay,96819
47,seali,power,probat,96819
48,kelshaw,time,sugar,96819
49,reck,railroad,vessel,96819
50,chessman,congress,purchas,96819
51,pension,suit,kansa,96819
52,burner,parti,action,96819
53,hambro,rule,oper,96819
54,copyright,person,confirm,96819
55,nicholson,circuit,pier,96819
56,abe,evid,complain,96819
57,coss,requir,lien,96819
58,marriag,new,commut,96819
59,lozada,author,feet,96819
60,beeper,sup,1918,96819
61,hackley,bank,invent,96819
62,postmast,bill,assign,96819
63,flagg,led2d,assess,96819
64,drug,govern,attorney,96819
65,shainwald,see,premium,96819
66,train,use,indiana,96819
67,burlingam,opinion,certifi,96819
68,hibbit,fact,divis,96819
69,adsit,offic,insur,96819
70,awpa,patent,equit,96819
71,trademark,corpor,origin,96819
72,levison,issu,cultiv,96819
73,pueblo,respond,commerc,96819
74,nail,led,jurisdict,96819
75,swinney,gener,school,96819
76,hudgin,bond,reissu,96819
77,goff,proceed,governor,96819
78,potato,juri,marshal,96819
79,hamer,interest,execut,96819
80,hoppl,commiss,homestead,96819
81,berth,trial,sold,96819
82,dillard,within,vs,96819
83,bilbi,2,idaho,96819
84,pardon,citi,pilot,96819
85,ft,c,annuiti,96819
86,auchincloss,grant,amount,96819
87,cavend,decis,postmast,96819
88,rocker,part,gener,96819
89,carrera,provid,appel,96819
90,wilhoit,titl,sup,96819
91,obscen,caus,pardon,96819
92,vmi,amend,monument,96819
93,envelop,public,issu,96819
94,muniz,appel,plan,96819
95,rapley,writ,commun,96819
96,othello,justic,ship,96819
97,chines,whether,pray,96819
98,meek,suprem,pipe,96819
99,picket,sale,claim,96819
100,ivinson,reason,courtmarti,96819
101,maisenberg,file,florida,96819
102,accardi,counti,devis,96819
103,coupon,rep,present,96819
104,mastin,could,colleg,96819
105,vossler,without,divorc,96819
106,lansburgh,present,pave,96819
107,lankford,amount,river,96819
108,hopperboy,must,die,96819
109,waterman,board,distribut,96819
110,syckel,provis,decre,96819
111,spong,make,candid,96819
112,garnishe,3,carrier,96819
113,bovey,petit,retir,96819
114,codicil,year,daughter,96819
115,orat,purpos,contractor,96819
116,brigad,also,comptrol,96819
117,gegauf,record,debtor,96819
118,raisin,held,abandon,96819
119,poncin,first,mail,96819
120,conspiraci,charg,paymast,96819
121,frellsen,receiv,lade,96819
122,fenn,servic,award,96819
123,munro,term,farm,96819
124,cheroke,commerc,court,96819
125,shinn,regul,inch,96819
126,seisin,payment,sureti,96819
127,lien,alleg,drainag,96819
128,olmst,applic,real,96819
129,dresser,rate,account,96819
130,noordland,subject,roll,96819
131,zeidler,busi,machineri,96819
132,wager,except,disput,96819
133,indian,vessel,francisco,96819
134,clearanc,effect,sidewalk,96819
135,oat,pay,savannah,96819
136,holladay,stat,sign,96819
137,school,judg,pueblo,96819
138,hanley,motion,intercept,96819
139,tunnel,employ,seller,96819
140,roller,limit,leas,96819
141,schiro,purchas,profession,96819
142,sawin,valu,opinion,96819
143,patent,determin,belt,96819
144,hunyadi,paid,petit,96819
145,prize,duti,1896,96819
146,sharon,stock,settler,96819
147,mcorp,4,e,96819
148,culomb,execut,institut,96819
149,barqu,dismiss,wall,96819
150,robinson,day,libel,96819
151,contempt,possess,donat,96819
152,israel,decid,leaflet,96819
153,owensboro,commission,mississippi,96819
154,venabl,estat,boiler,96819
155,probat,damag,eastern,96819
156,hydrant,interst,boston,96819
157,albren,two,nlrb,96819
158,basebal,insur,arc,96819
159,fingerprint,r,railroad,96819
160,rahtjen,per,fire,96819
161,fur,york,convers,96819
162,elect,follow,deplet,96819
163,schwinn,therefor,ct,96819
164,wharf,5,regist,96819
165,postal,note,educ,96819
166,spragu,money,iron,96819
167,gme,due,novemb,96819
168,checkpoint,appear,game,96819
169,silk,employe,obtain,96819
170,summersbi,find,richard,96819
171,kenofskey,construct,militari,96819
172,vessel,direct,eliza,96819
173,middleton,ground,debt,96819
174,morri,oper,charit,96819
175,lefemin,n,fraud,96819
176,glue,counsel,servic,96819
177,supersedea,appli,section,96819
178,broker,affirm,st,96819
179,kessler,show,picket,96819
180,chickasaw,allow,dredg,96819
181,nugent,secur,landoffic,96819
182,homan,respect,pacif,96819
183,hurst,brought,berth,96819
184,ticket,id,quantiti,96819
185,burchel,nation,louisiana,96819
186,arc,carrier,seatrain,96819
187,yule,complain,former,96819
188,iad,creditor,adjud,96819
189,indiarubb,given,utah,96819
190,mauro,mortgag,borrow,96819
191,survey,set,chariti,96819
192,fritzlen,place,salari,96819
193,lookout,debt,garnishe,96819
194,mpherson,matter,fix,96819
195,brazel,found,rank,96819
196,choctaw,might,complaint,96819
197,yakima,assess,1865,96819
198,corcorran,review,written,96819
199,abort,attorney,allow,96819
200,gisborn,violat,fundrais,96819
