,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,carusi,court,interst,92702
1,simplex,state,claimant,92702
2,gomila,v,creditor,92702
3,kountz,case,estat,92702
4,schreyer,act,bankruptci,92702
5,anastaplo,unit,coal,92702
6,hardi,upon,carrier,92702
7,church,law,libel,92702
8,canalboat,compani,account,92702
9,adden,sct,commerc,92702
10,arbitr,plaintiff,peremptori,92702
11,cigar,land,plan,92702
12,gvr,us,counti,92702
13,reck,defend,price,92702
14,chessman,u,railroad,92702
15,coss,said,canal,92702
16,beeper,§,salari,92702
17,deport,may,juri,92702
18,hibbit,tax,intrast,92702
19,daisart,right,gener,92702
20,swinney,claim,rate,92702
21,hudgin,would,section,92702
22,schine,made,children,92702
23,carrera,judgment,work,92702
24,envelop,properti,issu,92702
25,picket,l,life,92702
26,maisenberg,co,homestead,92702
27,garnishe,district,administr,92702
28,codicil,petition,offic,92702
29,knab,error,sect,92702
30,poncin,statut,origin,92702
31,frellsen,contract,co,92702
32,mcblair,shall,damag,92702
33,munro,appeal,engin,92702
34,seisin,one,juror,92702
35,olmst,jurisdict,mandamu,92702
36,holladay,question,petit,92702
37,school,ct,commission,92702
38,tunnel,section,broker,92702
39,schiro,order,refere,92702
40,jacobu,mr,special,92702
41,patent,ed,lade,92702
42,copyright,railroad,insur,92702
43,culomb,congress,depart,92702
44,venabl,feder,ed,92702
45,todd,1,patent,92702
46,hydrant,rule,divorc,92702
47,albren,time,challeng,92702
48,rahtjen,decre,furnish,92702
49,cochran,see,fire,92702
50,checkpoint,govern,cotton,92702
51,ton,parti,bid,92702
52,chickasaw,constitut,michigan,92702
53,hurst,action,boiler,92702
54,burchel,new,bar,92702
55,yule,led2d,statement,92702
56,catv,evid,see,92702
57,survey,power,verdict,92702
58,jetti,bank,deliveri,92702
59,vs,requir,credit,92702
60,dold,suit,check,92702
61,faca,juri,attach,92702
62,beani,bill,neglig,92702
63,graze,person,court,92702
64,magistr,offic,deplet,92702
65,kale,issu,polici,92702
66,cogsa,circuit,widow,92702
67,ipl,fact,seller,92702
68,whippl,gener,lien,92702
69,wharf,author,crawford,92702
70,shale,sup,payment,92702
71,vessel,use,exempt,92702
72,dispensari,respond,made,92702
73,export,opinion,loan,92702
74,embank,patent,chapter,92702
75,desgrang,interest,certiorari,92702
76,diem,led,reissu,92702
77,garlott,trial,case,92702
78,barg,commiss,liabil,92702
79,starn,corpor,paymast,92702
80,sayl,2,l,92702
81,humaston,c,arbitr,92702
82,cheroke,within,vs,92702
83,vosper,proceed,garnishe,92702
84,trucker,counti,benjamin,92702
