,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,shaeffer,court,indict,86062
1,wool,state,offic,86062
2,carusi,act,collector,86062
3,toy,unit,duti,86062
4,seed,case,unit,86062
5,jen,v,contract,86062
6,paper,upon,navi,86062
7,renfrow,said,claimant,86062
8,pearl,contract,treasuri,86062
9,cork,offic,act,86062
10,tile,law,servic,86062
11,cadet,made,depart,86062
12,pardon,shall,articl,86062
13,postmast,defend,cent,86062
14,hilsman,plaintiff,shall,86062
15,ore,error,apprais,86062
16,collector,duti,govern,86062
17,nail,u,section,86062
18,hoppl,section,charg,86062
19,frerich,claim,made,86062
20,weighel,indict,per,86062
21,waterman,district,import,86062
22,bead,govern,day,86062
23,plumley,may,war,86062
24,trimbl,statut,clerk,86062
25,mcblair,appeal,offens,86062
26,apprais,judgment,allow,86062
27,wager,collector,secretari,86062
28,holladay,time,armi,86062
29,weigher,servic,protest,86062
30,dentur,l,contractor,86062
31,pension,bond,manufactur,86062
32,count,writ,cotton,86062
33,moyer,mr,stat,86062
34,trim,one,postmast,86062
35,kenofskey,charg,said,86062
36,silk,§,valorem,86062
37,supervisor,would,account,86062
38,surgeon,ct,writ,86062
39,ton,order,invoic,86062
40,liquor,congress,courtmarti,86062
41,serda,land,merchandis,86062
42,probat,person,appoint,86062
43,homan,day,good,86062
44,rubber,1,money,86062
45,butter,question,paid,86062
46,indiarubb,stat,presid,86062
47,howgat,circuit,territori,86062
48,melter,claimant,dutiabl,86062
49,pickrel,per,compens,86062
50,tapioca,author,count,86062
51,montelibano,compani,mail,86062
52,sugar,properti,error,86062
53,delain,evid,pay,86062
54,ordway,gener,bond,86062
55,lace,provid,docket,86062
56,leather,sup,porto,86062
57,subpoena,paid,salari,86062
58,poler,c,wool,86062
59,diem,articl,revis,86062
60,courtmarti,term,sum,86062
61,starn,allow,pound,86062
62,deneal,fact,crime,86062
63,bradshaw,parti,entri,86062
64,yarn,money,term,86062
65,croxal,2,silk,86062
66,acid,jurisdict,rico,86062
67,stave,within,word,86062
68,oleomargarin,pay,defraud,86062
69,rayburn,cent,letter,86062
70,hennessi,depart,fugit,86062
71,ellenwood,amount,1883,86062
72,oat,secretari,citat,86062
73,cotton,treasuri,comp,86062
74,rabago,right,juli,86062
75,drawspan,requir,return,86062
76,anilin,payment,sect,86062
77,gleis,part,march,86062
78,porto,good,fals,86062
79,castleman,appel,date,86062
80,perovich,account,commit,86062
81,nih,provis,time,86062
82,chines,use,june,86062
83,clemmen,receiv,payment,86062
84,batchelor,3,transcript,86062
85,addison,ed,militari,86062
86,retir,new,item,86062
87,extradit,make,offenc,86062
88,supersedea,opinion,extra,86062
89,ute,territori,rev,86062
90,consul,power,st,86062
91,proclam,import,pardon,86062
92,prize,decre,centum,86062
93,rate,rule,naval,86062
94,philippin,us,statut,86062
95,ruckman,year,upon,86062
96,deplet,offens,rebellion,86062
97,stoiber,caus,perform,86062
98,arndt,record,paper,86062
99,packag,navi,liquid,86062
100,daughter,rep,postoffic,86062
101,tobacco,juri,tariff,86062
102,florin,execut,chap,86062
103,manur,except,agent,86062
104,paint,sum,disburs,86062
105,wasatch,justic,district,86062
106,adjourn,proceed,retir,86062
107,orinoco,compens,execut,86062
108,surratt,valu,custom,86062
109,passport,must,quartermast,86062
110,debaucheri,war,amount,86062
111,levinson,appoint,receiv,86062
112,whitsitt,manufactur,gen,86062
113,cuba,purpos,paymast,86062
114,tea,trial,oath,86062
115,lore,file,materi,86062
116,grigsbi,clerk,1901,86062
117,territori,follow,enumer,86062
118,cabral,present,provid,86062
119,snuff,march,approv,86062
120,bankston,bill,name,86062
121,opium,action,chief,86062
122,bohea,without,forfeitur,86062
123,bottl,decis,paragraph,86062
124,inspector,commission,sign,86062
125,hair,st,extradit,86062
126,resign,motion,certifi,86062
127,navi,word,testat,86062
128,penc,issu,claim,86062
129,bariron,judg,sureti,86062
130,veteran,rate,copi,86062
131,linen,suit,write,86062
132,phul,dismiss,supersedea,86062
133,household,date,seal,86062
134,dagg,could,appeal,86062
135,executor,presid,lieuten,86062
136,langdon,first,conspiraci,86062
137,gun,return,attorney,86062
138,tax,titl,export,86062
139,chocol,petition,port,86062
140,reapprais,alleg,work,86062
141,militari,held,executor,86062
142,disburs,attorney,deliveri,86062
143,mortgag,apprais,follow,86062
144,rousmanier,taken,atti,86062
145,bankcheck,estat,valu,86062
146,reward,appear,dollar,86062
147,money,therefor,voucher,86062
148,spectacl,given,columbia,86062
149,wsla,agent,cadet,86062
150,treasurynot,5,discharg,86062
151,dunda,4,delay,86062
152,marstel,work,sugar,86062
153,shuck,entri,entitl,86062
154,straughan,subject,auditor,86062
155,kalakaua,whether,attorneygener,86062
156,lotteri,found,assist,86062
157,bag,deed,bid,86062
158,mcullough,name,1864,86062
159,smuggl,cotton,except,86062
160,estlin,crime,ad,86062
161,sage,sct,commission,86062
162,sea,entitl,1890,86062
163,cautionari,enter,arrest,86062
164,shiff,effect,price,86062
165,slave,crimin,corpu,86062
166,bank,contractor,duli,86062
167,bispham,count,c,86062
168,waialua,two,hundr,86062
169,gunner,suprem,accept,86062
170,dye,bank,gener,86062
171,shreve,june,taken,86062
172,eastport,also,asst,86062
173,sauc,led,crimin,86062
174,smolin,sale,render,86062
175,reggel,tax,warehous,86062
176,puerto,protest,schedul,86062
177,beatriz,purchas,compos,86062
178,glass,regul,januari,86062
179,mccoy,construct,rank,86062
180,lauri,appelle,devis,86062
181,woolen,object,1861,86062
182,docket,direct,accus,86062
183,croom,place,chines,86062
184,landgrant,show,remov,86062
185,smoke,reason,intent,86062
186,surget,petit,credit,86062
187,decre,letter,quantiti,86062
188,wapl,6,octob,86062
189,indian,deliv,deliv,86062
190,tva,co,august,86062
191,horner,armi,appelle,86062
192,mission,juli,liquor,86062
193,bardeleben,perform,person,86062
194,church,applic,compon,86062
195,morrison,refer,demand,86062
196,hooper,interest,fix,86062
197,midshipman,constitut,enter,86062
198,mcclane,intent,3,86062
199,bobb,brought,emolu,86062
200,bosworth,remov,proclam,86062
201,rebellion,commit,thereof,86062
202,attorney,york,enlist,86062
203,opi,possess,ten,86062
204,hare,comp,heir,86062
205,lot,public,forg,86062
206,guardian,give,1862,86062
207,conrad,price,guardian,86062
208,conspiraci,mean,furnish,86062
209,294d2,find,1885,86062
210,orr,board,grade,86062
211,oliv,revis,repeal,86062
212,skin,due,command,86062
213,sweepstak,render,prescrib,86062
214,warehous,recov,estim,86062
215,avegno,grant,soldier,86062
216,barr,merchandis,addit,86062
217,sandov,decid,given,86062
218,scrapiron,mail,mistak,86062
219,arbitr,condit,aforesaid,86062
220,invoic,notic,provis,86062
221,lord,approv,custodi,86062
222,chaffe,instruct,governor,86062
223,reliquid,vessel,confeder,86062
224,rupe,insur,examin,86062
225,desert,certain,disallow,86062
226,contempt,commiss,receipt,86062
227,furnitur,postmast,hair,86062
228,indict,take,fee,86062
229,chagr,might,tobacco,86062
230,syrup,ground,diem,86062
231,rico,limit,confisc,86062
232,replevin,10,thousand,86062
233,dodg,7,1886,86062
234,township,matter,merchant,86062
235,bitumen,respect,cl,86062
236,wade,counsel,recov,86062
237,dock,final,inspector,86062
238,mixter,transport,similitud,86062
239,solicit,wit,exact,86062
240,deed,declar,decemb,86062
241,archer,counti,distil,86062
242,barrett,materi,congress,86062
243,peso,p,punish,86062
244,export,discharg,demurr,86062
245,belden,note,bale,86062
246,purser,thereof,consul,86062
247,shipment,paper,packag,86062
248,offenc,valorem,lace,86062
249,thaw,invoic,1884,86062
250,cigarett,railroad,1865,86062
251,compress,chief,philippin,86062
252,1894,necessari,quash,86062
253,charterparti,fee,1842,86062
254,rebat,agreement,reapprais,86062
255,supernumerari,accept,premium,86062
256,recogniz,8,fraud,86062
257,lutheran,militari,descript,86062
258,writ,januari,novemb,86062
259,renew,12,regular,86062
260,colbi,set,languag,86062
261,manila,9,thirti,86062
262,fugit,affirm,2,86062
263,contract,pass,troop,86062
264,immigr,intend,1863,86062
265,captor,courtmarti,appel,86062
266,sewer,differ,instruct,86062
267,coal,certif,engin,86062
268,cleaveland,damag,offer,86062
269,savag,assign,estat,86062
270,burner,appli,architect,86062
271,fontenot,dollar,1846,86062
272,starch,form,forc,86062
273,piano,refus,februari,86062
274,flag,13,deed,86062
275,har,special,refer,86062
276,arm,fals,counterfeit,86062
277,toof,port,1878,86062
278,cattl,docket,affidavit,86062
279,rosari,legal,done,86062
280,street,relat,found,86062
281,beer,proper,captur,86062
282,averitt,suffici,intend,86062
283,architect,secur,complet,86062
284,esti,w,excav,86062
285,cohabit,decemb,daughter,86062
286,hay,examin,make,86062
287,waller,verdict,transport,86062
288,twothird,consid,habea,86062
289,lumber,accord,five,86062
290,judson,octob,30,86062
291,patent,11,veteran,86062
292,copartnership,amend,septemb,86062
293,yacht,demand,puerto,86062
294,refere,second,spirit,86062
295,anim,mortgag,fled,86062
296,spearin,done,design,86062
297,chatwin,april,customhous,86062
298,woodwel,forc,chariti,86062
299,memoranda,credit,dismiss,86062
300,handcar,salari,case,86062
301,bond,sign,object,86062
302,mileag,statement,head,86062
303,dredg,sect,seed,86062
304,mcqueen,j,longev,86062
305,storekeep,arrest,linen,86062
306,grandfath,fix,within,86062
307,paymast,chap,therein,86062
308,bruce,certifi,mr,86062
309,oath,actual,recogniz,86062
310,debloi,establish,imprison,86062
311,talbert,languag,year,86062
312,hat,consider,proviso,86062
313,mcnichol,origin,ascertain,86062
314,creamo,contain,proper,86062
315,1896,prosecut,1891,86062
316,engin,polici,last,86062
317,twoquart,addit,certain,86062
318,renter,transcript,bequest,86062
319,beneficiari,claus,hay,86062
320,forg,februari,chargeabl,86062
321,bale,15,appear,86062
322,station,18,volunt,86062
323,protest,columbia,iron,86062
324,armor,14,rubber,86062
325,samoa,copi,henkel,86062
326,chariti,see,yard,86062
327,glasgow,report,countri,86062
328,radio,punish,next,86062
329,eagleton,prescrib,rate,86062
330,premium,admit,nonenumer,86062
331,chicken,review,amnesti,86062
332,muriat,convey,fine,86062
333,innerar,say,suspend,86062
334,color,specif,1894,86062
335,gayon,exist,faith,86062
336,bonnet,determin,1882,86062
337,hawaii,r,circuit,86062
338,print,offer,authent,86062
339,602h2,dutiabl,admit,86062
340,cut,john,divis,86062
341,registr,rico,specif,86062
342,disaffirm,porto,usag,86062
343,averi,rev,actual,86062
344,boyl,think,arthur,86062
345,bean,conclus,folio,86062
346,brace,custom,procur,86062
347,manufactur,item,1880,86062
348,cord,legisl,april,86062
349,bradford,pound,infant,86062
350,confectioneri,trust,author,86062
351,mccomb,either,finish,86062
352,fha,period,annum,86062
353,veil,hundr,judg,86062
354,masonri,1883,30th,86062
355,stone,death,ware,86062
356,port,citat,thirtyf,86062
357,carriag,unless,landgrant,86062
358,partnership,fraud,worst,86062
359,potash,everi,forfeit,86062
360,plea,ad,known,86062
361,georgetown,collect,transmit,86062
362,prostitut,30,herebi,86062
363,bankruptci,complet,13,86062
364,salari,sureti,trim,86062
365,wareh,express,part,86062
366,compani,habea,1874,86062
367,guaranti,thu,1907,86062
368,tare,regard,1879,86062
369,lovett,includ,therefor,86062
370,breed,well,ton,86062
371,pound,civil,requisit,86062
372,smoker,point,specifi,86062
373,excav,defraud,mauri,86062
374,melson,cost,defect,86062
375,crescent,respond,give,86062
376,bankrupt,assist,wit,86062
377,war,view,comptrol,86062
378,survey,deliveri,5,86062
379,harlow,continu,rout,86062
380,rank,treati,unless,86062
381,albright,argument,written,86062
382,soler,revenu,otherwis,86062
383,b6a,corpu,insular,86062
384,quemado,executor,treason,86062
385,citat,countri,marshal,86062
386,detain,sustain,yarn,86062
387,assessor,warrant,india,86062
388,appealbond,washington,u,86062
389,cropley,heir,courtsmarti,86062
390,beef,administr,perjuri,86062
391,letter,demurr,grigsbi,86062
392,railroad,answer,academi,86062
393,holman,furnish,midshipman,86062
394,runkl,impos,1877,86062
395,music,indian,sent,86062
396,triumph,inform,box,86062
397,cluss,employ,rendit,86062
398,divis,gen,ordnanc,86062
399,hoffman,wool,skin,86062
400,burchard,testimoni,consumpt,86062
401,kickback,complain,attend,86062
402,depot,carri,wall,86062
403,mourrail,anoth,bidder,86062
404,distil,design,asylum,86062
405,bluthenth,deposit,wood,86062
406,bickart,citi,1892,86062
407,mail,novemb,weigher,86062
408,truste,delay,eighteen,86062
409,britton,appropri,glass,86062
410,confeder,forfeitur,prepar,86062
411,wage,otherwis,list,86062
412,butler,wall,washington,86062
413,feibelman,august,10,86062
414,stall,hold,mention,86062
415,discount,owner,etc,86062
416,thread,sentenc,twenti,86062
417,duck,duli,late,86062
418,shawne,william,peac,86062
419,sweeney,usca,restor,86062
420,forest,write,place,86062
421,counti,proof,colonel,86062
422,cowland,truste,suspens,86062
423,vessel,violat,thereon,86062
424,mccord,tariff,desert,86062
425,hemp,whole,motion,86062
426,142000,penalti,mexico,86062
427,pennsylvania,subsequ,magistr,86062
428,martial,1901,woolen,86062
429,musket,16,1881,86062
430,parte,h,china,86062
431,hawaiian,debt,contain,86062
432,jessup,20,final,86062
433,poland,offenc,period,86062
434,farm,natur,embrac,86062
435,hepburn,revers,1868,86062
436,treati,three,sec,86062
437,corn,judici,instal,86062
438,contractor,accus,lord,86062
