,names,dates,url
0,Natal v. Louisiana,1887-12-05,https://www.courtlistener.com/opinion/92060/natal-v-louisiana/
1,Kitchen v. Randolph,1876-10-30,https://www.courtlistener.com/opinion/89347/kitchen-v-randolph/
2,Leonard v. Ozark Land Co.,1885-11-23,https://www.courtlistener.com/opinion/91466/leonard-v-ozark-land-co/
3,Knox County v. Harshman,1889-10-28,https://www.courtlistener.com/opinion/92562/knox-county-v-harshman/
4,Doyle v. Wisconsin,1877-01-29,https://www.courtlistener.com/opinion/89433/doyle-v-wisconsin/
5,Western Air Line Constr. Co. v. McGillis,1888-04-16,https://www.courtlistener.com/opinion/92305/western-air-line-constr-co-v-mcgillis/
6,BUTCHERS'BENEVOLENT ASSOCIATION v. Crescent City Live-Stock Landing and Slaughter-House Co.,1870-12-18,https://www.courtlistener.com/opinion/88259/butchersbenevolent-association-v-crescent-city-live-stock-landing-and/
7,Telegraph Co. v. Eyser,1873-12-15,https://www.courtlistener.com/opinion/88884/telegraph-co-v-eyser/
8,Danville v. Brown,1888-12-10,https://www.courtlistener.com/opinion/92356/danville-v-brown/
9,Covington Stock-Yards Co. v. Keith,1887-04-11,https://www.courtlistener.com/opinion/91915/covington-stock-yards-co-v-keith/
10,Foster v. Kansas Ex Rel. Johnston,1884-11-10,https://www.courtlistener.com/opinion/91195/foster-v-kansas-ex-rel-johnston/
11,Title Guaranty Co. v. GEN'L ELECTRIC CO.,1912-01-09,https://www.courtlistener.com/opinion/97509/title-guaranty-co-v-genl-electric-co/
