,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,savori,admir,admir,95782
1,admir,savori,savori,95782
2,rear,rear,rear,95782
3,teresa,laura,laura,95782
4,laura,teresa,teresa,95782
5,vessel,vessel,vessel,95782
6,sampson,sampson,sampson,95782
7,colon,navi,navi,95782
8,prize,prize,prize,95782
9,infanta,colon,colon,95782
10,navi,captain,captain,95782
11,wreck,libel,infanta,95782
12,captain,infanta,libel,95782
13,cristob,wreck,wreck,95782
14,substitut,substitut,cristob,95782
15,tug,cristob,substitut,95782
16,maria,tug,tug,95782
17,master,1898,1898,95782
18,satisfactorli,master,taylor,95782
19,sunk,taylor,maria,95782
20,taylor,maria,master,95782
21,tow,tow,sunk,95782
22,libel,sunk,tow,95782
23,norfolk,santiago,santiago,95782
24,float,satisfactorli,satisfactorli,95782
25,guantanamo,float,float,95782
26,repair,save,mccammon,95782
27,evan,abandon,save,95782
28,1898,mccammon,guantanamo,95782
29,bounti,norfolk,norfolk,95782
30,1902,guantanamo,abandon,95782
31,lake,offic,1902,95782
32,mccammon,1902,evan,95782
33,captor,repair,repair,95782
34,frigerio,unit,bounti,95782
35,apptvwilliam,state,crew,95782
36,derelict,evan,king,95782
37,naval,king,salvag,95782
38,schley,crew,frigerio,95782
39,basin,bounti,apptvwilliam,95782
40,rais,lake,captor,95782
41,salvag,salvag,derelict,95782
42,save,captor,schley,95782
43,santiago,frigerio,lake,95782
44,3130,apptvwilliam,basin,95782
45,1901,went,naval,95782
46,king,derelict,hayden,95782
47,chadwick,juli,went,95782
48,reconstruct,rais,3130,95782
49,govern,naval,chadwick,95782
50,attorney,schley,reconstruct,95782
51,destroy,basin,hoyt,95782
52,steamer,hayden,rais,95782
53,spanish,u,juli,95782
54,repres,board,men,95782
55,sidney,repres,boat,95782
56,officio,3130,1901,95782
57,war,men,destroy,95782
58,hayden,case,gale,95782
59,viscaya,attorney,sidney,95782
60,pluton,1901,officio,95782
61,mandevil,boat,viscaya,95782
62,cuba,chadwick,pluton,95782
63,boat,govern,offic,95782
64,get,reconstruct,steamer,95782
65,caption,destroy,spanish,95782
66,oquendo,hoyt,repres,95782
67,administratrix,engag,mandevil,95782
68,abandon,steamer,caption,95782
69,u,spanish,oquendo,95782
70,juli,assist,cuba,95782
71,anchor,gale,anchor,95782
72,state,sidney,administratrix,95782
73,unit,officio,engag,95782
74,hoyt,court,assist,95782
75,webb,war,get,95782
76,knox,viscaya,webb,95782
77,enlist,pluton,knox,95782
78,harvey,william,216,95782
79,crew,mandevil,187,95782
80,comp,cuba,enlist,95782
81,dewey,get,dewey,95782
82,offic,caption,harvey,95782
83,ship,condit,attorney,95782
84,4635,oquendo,4635,95782
85,appropri,administratrix,salvor,95782
86,board,anchor,1903,95782
87,behalf,ship,4625,95782
88,4625,behalf,railroadland,95782
89,tchefuncta,216,tchefuncta,95782
90,railroadland,187,temporarili,95782
91,steam,webb,furor,95782
92,furor,knox,behalf,95782
93,yard,enlist,war,95782
94,william,1903,ashor,95782
95,work,harvey,william,95782
96,went,comp,shore,95782
97,gale,decre,weather,95782
98,contractor,dewey,steam,95782
99,exig,gener,3134,95782
100,someon,condemn,someon,95782
101,french,salvor,exig,95782
102,3134,4635,condemn,95782
103,go,appropri,sink,95782
104,fleet,come,yard,95782
105,use,4625,fleet,95782
106,orlean,temporarili,436,95782
107,apprais,shore,kong,95782
108,kong,tchefuncta,k,95782
109,properti,railroadland,french,95782
110,1903,use,273,95782
111,submit,steam,hong,95782
112,hear,furor,board,95782
113,hong,hear,comp,95782
114,lay,submit,salv,95782
115,salv,yard,station,95782
116,lost,ashor,armament,95782
117,gener,station,lost,95782
118,armament,work,joseph,95782
119,postpon,weather,ship,95782
120,e,person,effort,95782
121,salvor,k,commanderinchief,95782
122,condit,made,capsiz,95782
123,command,contractor,condit,95782
124,commanderinchief,436,come,95782
125,capsiz,lost,postpon,95782
126,case,one,contractor,95782
127,mile,exig,highpressur,95782
128,manila,counsel,pontchartrain,95782
129,highpressur,joseph,apprais,95782
