,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,lesag,court,led2d,104135
1,anastaplo,state,sct,104135
2,church,v,school,104135
3,flag,sct,us,104135
4,communist,led2d,speech,104135
5,theater,us,constitut,104135
6,methadon,constitut,amend,104135
7,disbar,case,v,104135
8,chafin,school,religi,104135
9,drug,§,see,104135
10,harburi,law,protect,104135
11,beamer,amend,public,104135
12,darbel,petition,prison,104135
13,picket,see,polit,104135
14,passport,right,educ,104135
15,obscen,feder,obscen,104135
16,vmi,public,state,104135
17,amtrak,speech,feder,104135
18,horsepow,statut,petition,104135
19,harner,would,elect,104135
20,school,may,fourteenth,104135
21,juvenil,act,§,104135
22,siegert,protect,candid,104135
23,brigad,unit,id,104135
24,amish,district,freedom,104135
25,lsc,requir,student,104135
26,biven,respond,offici,104135
27,elector,appeal,process,104135
28,usoc,religi,challeng,104135
29,oath,person,respond,104135
30,tolan,govern,religion,104135
31,parol,appel,child,104135
32,gabbert,id,immun,104135
33,gang,interest,member,104135
34,cochran,judgment,supra,104135
35,elect,first,ordin,104135
36,helfant,led,violat,104135
37,osp,process,vote,104135
38,stamp,prison,requir,104135
39,ncaa,action,activ,104135
40,bircher,board,convict,104135
41,trpa,question,program,104135
42,burney,one,crimin,104135
43,sheriff,violat,procedur,104135
44,abort,u,parent,104135
45,texaco,decis,children,104135
46,religi,supra,1983,104135
47,plate,elect,inmat,104135
48,censu,citi,dissent,104135
49,propaganda,new,abort,104135
50,afla,opinion,first,104135
51,beef,upon,conduct,104135
52,circul,justic,moot,104135
53,thatcher,polit,standard,104135
54,librari,issu,liberti,104135
55,tape,convict,court,104135
56,garlott,congress,appel,104135
57,mopac,crimin,claus,104135
58,bail,educ,racial,104135
59,mental,whether,unconstitut,104135
60,txo,power,free,104135
61,miner,offic,right,104135
62,broadcast,claim,group,104135
63,lotteri,provid,voter,104135
64,sunday,order,committe,104135
65,scull,member,statut,104135
66,kcmsd,reason,communist,104135
67,firearm,1,commun,104135
68,advertis,fourteenth,prohibit,104135
69,konigsberg,offici,picket,104135
70,postal,claus,race,104135
71,scout,suprem,legisl,104135
72,film,rule,person,104135
73,cpa,parti,punish,104135
74,clemenc,obscen,peopl,104135
75,witt,ordin,negro,104135
76,dna,regul,concur,104135
77,nopsi,also,civil,104135
78,fundrais,legisl,board,104135
79,senat,gener,individu,104135
80,prison,mr,church,104135
81,berbl,challeng,ant,104135
82,contracept,use,government,104135
83,nike,dissent,system,104135
84,veteran,procedur,organ,104135
85,rrha,immun,social,104135
86,rotari,must,press,104135
87,uphau,author,depriv,104135
88,sabbath,trial,would,104135
89,orteca,shall,teacher,104135
90,girard,conduct,equal,104135
91,glover,vote,ballot,104135
92,19853,york,polic,104135
93,chaplainci,employe,discrimin,104135
94,arrow,defend,interest,104135
95,mhdc,time,california,104135
