,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,peralta,land,river,89881
1,clamorgan,river,land,89881
2,river,peralta,peralta,89881
3,nolan,leagu,leagu,89881
4,leagu,survey,boundari,89881
5,boundari,boundari,survey,89881
6,san,grant,clamorgan,89881
7,arpen,clamorgan,grant,89881
8,land,trudeau,trudeau,89881
9,grant,nolan,nolan,89881
10,lui,titl,possess,89881
11,trudeau,possess,titl,89881
12,white,claimant,carondelet,89881
13,survey,carondelet,surveyor,89881
14,leandro,claim,claimant,89881
15,rio,surveyor,san,89881
16,ocat,san,descript,89881
17,blanco,descript,arpen,89881
18,rancho,north,north,89881
19,cuivr,arpen,lui,89881
20,fork,line,hill,89881
21,surveyor,hill,map,89881
22,possess,lui,leandro,89881
23,ledoux,locat,line,89881
24,buffalo,map,white,89881
25,ten,white,confirm,89881
26,plaintiff,confirm,rio,89881
27,claimant,petit,locat,89881
28,concess,tract,west,89881
29,colfax,west,tract,89881
30,carondelet,leandro,concess,89881
31,clara,plaintiff,claim,89881
32,mississippi,rio,ocat,89881
33,north,mile,mile,89881
34,thenc,concess,blanco,89881
35,creek,said,rancho,89881
36,mission,ocat,cuivr,89881
37,petit,governor,fork,89881
38,santa,blanco,petit,89881
39,mountain,rancho,governor,89881
40,vallier,distanc,distanc,89881
41,martinez,cuivr,ledoux,89881
42,titl,fork,antonio,89881
43,antonio,ledoux,buffalo,89881
44,governor,antonio,creek,89881
45,lacharett,buffalo,thenc,89881
46,gervacio,creek,ten,89881
47,canoncito,ten,colfax,89881
48,scull,thenc,scull,89881
49,dardenn,act,clara,89881
50,claim,state,mountain,89881
51,cibolo,evid,mouth,89881
52,sola,colfax,mississippi,89881
53,jurid,mississippi,mission,89881
54,father,point,vallier,89881
55,descript,mountain,martinez,89881
56,cerrito,clara,santa,89881
57,defend,scull,south,89881
58,line,congress,rang,89881
59,beaubien,mouth,lacharett,89881
60,map,defend,point,89881
61,mile,mission,canoncito,89881
62,nort,south,gervacio,89881
63,arkansa,santa,document,89881
64,mexico,court,westerli,89881
65,mora,vallier,dardenn,89881
66,red,martinez,cibolo,89881
67,evid,document,plat,89881
68,west,report,sola,89881
69,sourc,rang,jurid,89881
70,sapello,case,cerrito,89881
71,confirme,lacharett,plaintiff,89881
72,distanc,gervacio,run,89881
73,94136,canoncito,father,89881
74,arguello,westerli,report,89881
75,hill,plat,beaubien,89881
76,tract,unit,nort,89881
77,lieutenantgovernor,dardenn,sourc,89881
78,township,order,domain,89881
79,lieuten,must,littl,89881
80,locat,origin,spanish,89881
81,sixti,cibolo,mora,89881
82,jo,govern,captain,89881
83,1820,run,evid,89881
84,point,sola,sapello,89881
85,confirm,jurid,cession,89881
86,mouth,actual,red,89881
87,1797,plan,confirme,89881
88,descend,father,94136,89881
89,zenon,littl,said,89881
90,document,sourc,plan,89881
91,unit,cerrito,arguello,89881
92,branch,spanish,actual,89881
93,juri,domain,mexico,89881
94,ranch,commission,western,89881
95,state,beaubien,sixti,89881
96,congress,captain,arkansa,89881
97,govern,nort,origin,89881
98,temesc,western,lieutenantgovernor,89881
99,rivulet,arkansa,descend,89881
100,front,mexico,stream,89881
101,vara,cession,congress,89881
102,guilti,mora,east,89881
103,sergeant,red,perfect,89881
104,governorgener,made,baron,89881
105,au,sapello,governorgener,89881
106,teodora,east,de,89881
107,miranda,de,lieuten,89881
108,littl,confirme,landoffic,89881
109,serrito,sixti,royal,89881
110,act,side,township,89881
111,rang,two,side,89881
112,canyon,94136,jo,89881
113,two,stream,1820,89881
114,perfect,arguello,1797,89881
115,cession,perfect,zenon,89881
116,counti,missouri,portion,89881
117,must,upon,missouri,89881
118,fountainhead,call,acr,89881
119,charett,descend,1860,89881
120,commission,within,reject,89881
121,plan,counti,embrac,89881
122,east,lieutenantgovernor,ranch,89881
123,southwest,township,must,89881
124,1845,may,call,89881
125,ignacio,portion,miranda,89881
126,beach,make,commission,89881
127,court,acr,temesc,89881
128,western,reject,rivulet,89881
129,south,cours,parallel,89881
130,said,favor,ascend,89881
131,plat,baron,vara,89881
132,francisco,one,favor,89881
133,bay,landoffic,teodora,89881
134,find,direct,au,89881
135,coast,lieuten,serrito,89881
136,westerli,juri,sergeant,89881
137,baron,royal,cours,89881
138,report,embrac,southwest,89881
139,spanish,governorgener,figur,89881
140,actual,decre,branch,89881
141,landoffic,given,adjoin,89881
142,acr,jo,southeast,89881
143,writ,describ,canyon,89881
144,captain,1820,describ,89881
145,confluenc,limit,front,89881
146,reverend,1860,ascertain,89881
147,cours,1797,fountainhead,89881
148,side,right,charett,89881
149,northwesterli,ascertain,northwesterli,89881
150,son,zenon,investitur,89881
151,upon,shall,eject,89881
152,embrac,class,top,89881
153,figur,miranda,depth,89881
154,origin,branch,identifi,89881
155,abovenam,gener,situat,89881
156,grand,public,northwest,89881
157,monument,ranch,two,89881
158,run,follow,govern,89881
159,question,situat,half,89881
160,depth,separ,ignacio,89881
161,missouri,question,class,89881
162,surveyorgener,parallel,straight,89881
163,decre,find,monument,89881
164,california,temesc,carlo,89881
165,landmark,district,beach,89881
166,case,figur,separ,89881
167,towit,rivulet,1845,89881
168,daughter,ascend,vagu,89881
169,board,front,maria,89881
170,error,vara,abovenam,89881
171,within,adjoin,surveyorgener,89881
172,gener,guilti,guilti,89881
173,begin,refer,twenti,89881
174,certifi,louisiana,regiment,89881
175,royal,sergeant,order,89881
176,call,au,quantiti,89881
177,domain,teodora,reverend,89881
178,favor,action,confluenc,89881
179,along,eject,direct,89881
180,1854,southwest,bay,89881
181,juli,serrito,given,89881
182,four,would,hundr,89881
183,direct,southeast,coast,89881
184,make,half,francisco,89881
185,charg,canyon,begin,89881
186,louisiana,identifi,suppos,89881
187,santiago,place,louisiana,89881
188,pablo,hundr,imperfect,89881
189,present,fountainhead,northerli,89881
190,stream,suit,landmark,89881
191,investitur,top,along,89881
192,julian,final,extend,89881
193,upper,northwesterli,bound,89881
194,one,charett,certifi,89881
195,judg,extend,provinc,89881
196,day,depth,current,89881
197,vincent,section,towit,89881
198,dwellinghous,show,northeast,89881
199,southwesterli,new,counti,89881
200,westwardli,investitur,solicit,89881
201,twenti,mr,make,89881
202,maria,northwest,grante,89881
203,1793,establish,daughter,89881
204,1860,natur,mode,89881
205,intersect,present,uncertainti,89881
206,st,certifi,welldefin,89881
207,joseph,bound,foot,89881
208,word,also,son,89881
209,reject,quantiti,definit,89881
210,quantiti,twenti,santiago,89881
211,hundr,could,pablo,89881
212,loui,vagu,refer,89881
213,order,straight,eleventh,89881
214,parallel,suppos,parcel,89881
215,adjoin,monument,julian,89881
216,made,1845,tribun,89881
217,top,ignacio,limit,89881
218,suit,beach,defend,89881
219,carlo,writ,1854,89881
220,slaughterhous,year,carpenti,89881
221,grante,error,southwesterli,89881
222,instruct,maria,westwardli,89881
223,legal,carlo,dwellinghous,89881
224,tribun,day,extent,89881
225,regiment,abovenam,vincent,89881
226,small,surveyorgener,within,89881
227,jurisdict,begin,follow,89881
228,enur,territori,conjectur,89881
229,district,francisco,1793,89881
230,class,bay,upper,89881
231,ascend,juli,find,89881
