Case ID,Closeness Centrality,Eigenvector Centrality,Betweenness Centrality
131072,0,0,0
131073,0,0,0
131079,0,0,0
87383,0,0,0
87385,0.179070615,4.57E-05,0
131120,0,0,0
131128,0,0,0
131129,0,0,0
131130,0,0,0
131131,0,0,0
131132,0,0,0
131134,0,0,0
131135,0,0,0
131136,0,0,0
131138,0,0,0
131139,0,0,0
131140,0,0,0
131141,0,0,0
131143,0.192274117,0.001139563,2.94E-06
131144,0.205093196,0.002267107,1.87E-05
131145,0.199776941,0.00028785,7.21E-06
131146,0.195633644,0.001575885,2.45E-06
131147,0.195770938,0.00054513,1.64E-06
131148,0.206815843,0.000347033,9.91E-05
131149,0.246297774,0.049250056,0.000401112
131150,0.20508768,0.003180652,5.36E-06
131151,0.210851618,0.000833127,4.66E-05
131152,0.183882856,3.95E-05,4.73E-06
131153,0.212207168,0.000979263,2.47E-05
131154,0.200292975,0.002059791,2.26E-06
131155,0.220338478,0.002291094,6.74E-06
131156,0.221297714,0.001331974,0.000111987
131157,0.229030593,0.002600923,0.000199016
131158,0.197669064,0.002434999,4.31E-08
131159,0.215467342,0.000720931,7.42E-05
131160,0.193443209,0.000607066,6.28E-07
131161,0.215262549,0.00877886,5.67E-05
131162,0.218277983,0.001395676,0.000144153
131163,0.219194115,0.00118138,4.81E-05
131164,0.200005766,0.000622986,5.86E-05
131165,0.220255736,0.004093066,6.29E-05
131166,0.214961137,0.008400157,6.95E-06
131167,0.210003759,0.001123729,5.93E-05
131168,0.203549235,0.000912871,3.90E-06
131169,0.169507214,2.34E-05,0
131170,0.168423893,5.72E-05,0
131171,0.169637948,2.70E-05,0
131172,0.169637948,2.70E-05,0
131173,0.169360378,1.65E-05,0
2490480,3.01E-05,4.79E-48,0
131185,0.144566795,1.44E-06,0
131186,0.144566795,1.44E-06,0
131187,0.144566795,1.44E-06,0
131188,0.144566795,1.44E-06,0
131190,0.144566795,1.44E-06,0
131191,0.144566795,1.44E-06,0
131197,0,0,0
131198,0,0,0
131199,0.162074151,5.62E-06,0
131200,0,0,0
131201,0,0,0
131202,0,0,0
131203,0,0,0
131204,0,0,0
131205,0,0,0
131206,0,0,0
131208,0,0,0
131209,0,0,0
131210,0,0,0
131211,0,0,0
2490597,3.01E-05,4.79E-48,0
2228460,0,0,0
131447,3.01E-05,4.79E-48,0
2359388,0.192638445,6.61E-05,2.45E-05
109362,0.197404657,0.002848307,1.65E-06
132004,3.01E-05,4.79E-48,0
2229179,0.185580557,0.000124276,0
2098227,0,0,0
132184,3.01E-05,4.79E-48,0
109415,0.205409968,0.001342496,1.81E-06
1158009,3.01E-05,4.79E-48,0
87593,0.183458123,2.08E-05,6.82E-06
218666,0.202606327,0.000397182,5.12E-06
87595,0.163855071,2.08E-06,0
218677,0,0,0
1443328,0.182471757,3.98E-05,1.39E-06
2229888,0,0,0
1443494,0.14127311,9.73E-08,0
1722,0.230238541,0.001436516,0.000141932
1723,0.220618991,0.00384126,0.000176817
1724,0.200764095,0.000203231,7.71E-06
1725,0.179303621,0.000256186,0
1726,0.21855327,0.000844073,9.79E-05
1727,0.210055827,0.000516789,5.30E-05
1728,0.213845818,0.004524213,0.000106418
1729,0.20714359,0.000981442,6.71E-05
1730,0.19193532,0.000180203,2.60E-06
1731,0.216396828,0.00087589,0.000108543
1732,0.211782793,0.001340333,5.89E-05
1733,0.177154027,0.000143779,4.99E-05
1734,0.213807841,0.006751545,1.39E-05
1735,0.215774247,0.00045017,9.20E-05
1736,0.211896579,0.003885515,2.11E-05
1737,0.20053529,0.001102309,4.04E-05
1738,0.187580236,0.000524407,5.20E-08
1739,0,0,0
1740,0.204623527,0.000463073,9.17E-05
1741,0.249887038,0.055192464,0.000661398
1742,0.206009344,0.001738739,1.23E-05
1743,0.210390062,0.000529047,0.000100415
1744,0.208818998,0.000639322,2.19E-05
1745,0.190379429,0.000303726,2.00E-06
1746,0.193777506,0.000867552,5.23E-06
1747,0.208197501,0.001994783,4.61E-05
1748,0.188222328,0.000123311,7.31E-08
1749,0.207570275,0.002634775,1.76E-05
1750,0.201384485,0.001000073,2.22E-06
1751,0.209984481,0.000708953,2.64E-05
1752,0.218180131,0.002926458,2.36E-05
1753,0.221808427,0.001015933,5.24E-05
1754,0.211244951,0.003077077,1.56E-05
1755,0.180342632,0.000703114,1.14E-08
1756,0.193457933,0.001073658,3.65E-06
1757,0.18788067,0.000600517,1.58E-07
1758,0.196883043,0.001005156,4.22E-06
1759,0.149533967,6.01E-06,0
109536,0.222263178,0.008657873,3.99E-05
133007,0.144566795,1.44E-06,0
133008,0,0,0
133010,0.144566795,1.44E-06,0
133012,0.13863514,7.66E-08,0
133021,0.1846294,0.000522208,0
133022,0,0,0
133026,0.144566795,1.44E-06,0
133028,0,0,0
133033,0,0,0
133035,0,0,0
133037,0.174029865,3.71E-05,0
133039,0,0,0
133093,3.01E-05,4.79E-48,0
1443879,0.204092251,0.000344933,6.46E-05
2144,0.22023241,0.021232287,6.60E-05
2145,0.186913487,0.000154384,0
2146,0.207211141,0.000277707,0
2147,0.207211141,0.000277707,0
2148,0.196152015,0.003675659,2.26E-07
2150,0.184745709,0.000291837,0
