,year,indegree,pagerank
1303508,1790,0,0.0073673870334
1303519,1785,0,0.0073673870334
1303706,1790,0,0.0073673870334
1303711,1782,0,0.0073673870334
1303728,1790,0,0.0073673870334
1304342,1782,0,0.0073673870334
2381610,1786,0,0.0073673870334
2381613,1789,0,0.0073673870334
2381617,1788,0,0.0073673870334
2381620,1784,0,0.0073673870334
2381633,1782,0,0.0073673870334
2381641,1787,0,0.0073673870334
2381644,1788,0,0.0073673870334
2381647,1768,1,0.049115913556
2381650,1788,0,0.0073673870334
2381653,1788,0,0.0073673870334
2381656,1788,0,0.0073673870334
2381659,1789,0,0.0073673870334
2381663,1789,0,0.0073673870334
2381666,1785,0,0.0073673870334
2381670,1788,0,0.0073673870334
2381683,1788,0,0.0073673870334
2381708,1786,0,0.0073673870334
2381711,1787,0,0.0073673870334
2381714,1782,0,0.0073673870334
2381715,1788,0,0.0073673870334
2381718,1782,0,0.0073673870334
2381723,1785,0,0.0073673870334
2381728,1768,1,0.049115913556
2381730,1785,0,0.0073673870334
2381736,1789,0,0.0073673870334
2381741,1788,0,0.0073673870334
2381743,1784,0,0.0073673870334
2381750,1788,0,0.0073673870334
2381753,1773,0,0.0073673870334
2381756,1787,0,0.0073673870334
2381757,1785,0,0.0073673870334
2381760,1788,0,0.0073673870334
2381762,1781,0,0.0073673870334
2381764,1784,0,0.0073673870334
2381770,1789,0,0.0073673870334
2381772,1789,0,0.0073673870334
2381775,1788,0,0.0073673870334
2381777,1785,0,0.0073673870334
2381780,1788,0,0.0073673870334
2381785,1776,0,0.0073673870334
2381788,1764,0,0.0073673870334
2381791,1788,0,0.0073673870334
2381794,1780,0,0.0073673870334
2381795,1786,0,0.0073673870334
2381800,1788,0,0.0073673870334
2381802,1788,0,0.0073673870334
2381805,1785,0,0.0073673870334
2381807,1778,0,0.0073673870334
2381810,1789,0,0.0073673870334
2381816,1785,0,0.0073673870334
2381817,1778,0,0.0073673870334
2381820,1788,0,0.0073673870334
810012,1760,0,0.0073673870334
84581,1754,0,0.0073673870334
84582,1759,0,0.0073673870334
84583,1760,0,0.0073673870334
84585,1763,0,0.0073673870334
84586,1764,1,0.0136296660118
84587,1764,0,0.0073673870334
84589,1768,0,0.0073673870334
84590,1773,0,0.0073673870334
84591,1773,0,0.0073673870334
84593,1778,0,0.0073673870334
84595,1780,1,0.0136296660118
84596,1780,0,0.0073673870334
84597,1781,0,0.0073673870334
84598,1782,1,0.0136296660118
84599,1783,0,0.0073673870334
84600,1783,0,0.0073673870334
84601,1781,0,0.0073673870334
84602,1784,0,0.0073673870334
84604,1784,0,0.0073673870334
84605,1784,0,0.0073673870334
84606,1785,0,0.0073673870334
84607,1785,0,0.0073673870334
84608,1785,0,0.0073673870334
84609,1785,0,0.0073673870334
84610,1786,0,0.0073673870334
84611,1786,0,0.0073673870334
84612,1786,0,0.0073673870334
84613,1786,0,0.0073673870334
84614,1787,0,0.0073673870334
84615,1787,0,0.0073673870334
84618,1788,0,0.0073673870334
84619,1788,0,0.0073673870334
84620,1788,1,0.0136296660118
84621,1788,0,0.0073673870334
84623,1788,0,0.0073673870334
84624,1788,0,0.0073673870334
84625,1789,0,0.0073673870334
84626,1789,0,0.0073673870334
84627,1789,0,0.0073673870334
84628,1789,0,0.0073673870334
84629,1789,0,0.0073673870334
84630,1781,0,0.0073673870334
84631,1781,0,0.0073673870334
84632,1782,0,0.0073673870334
84633,1788,0,0.0073673870334
84635,1790,0,0.0073673870334
84636,1790,0,0.0073673870334
84637,1790,0,0.0073673870334
84638,1790,0,0.0073673870334
84639,1790,0,0.0073673870334
84640,1790,0,0.0073673870334
84641,1790,0,0.0073673870334
84643,1766,0,0.0073673870334
84644,1781,0,0.0073673870334
84645,1781,0,0.0073673870334
84646,1785,0,0.0073673870334
84647,1786,0,0.0073673870334
84648,1787,0,0.0073673870334
84649,1788,0,0.0073673870334
84650,1789,0,0.0073673870334
84651,1790,0,0.0073673870334
84677,1790,0,0.0073673870334
