CLid,year,indegree,pagerank
1087619,1893,2,5.61994489666e-05
1087620,1858,1,5.13420500765e-05
1087659,1837,4,0.00010867708008
1087660,1904,2,4.56371473323e-05
1087661,1904,4,5.83690475737e-05
1087662,1904,1,4.54665404042e-05
1087690,1895,1,0.000260169647867
1087704,1899,3,5.71866404514e-05
1087705,1899,5,5.61518125687e-05
1087706,1899,0,3.90254471803e-05
1087707,1899,3,4.53157581452e-05
1087730,1899,1,4.37642514808e-05
1087731,1880,4,0.000116177909158
1087732,1880,7,0.000124668485481
1087733,1880,2,9.17856854748e-05
1087734,1880,6,6.92340582613e-05
1087736,1829,0,3.90254471803e-05
1087738,1871,12,0.000242252331431
1087739,1877,2,6.66032079079e-05
1087740,1877,4,0.000270417762295
1087741,1897,2,0.000103755824801
1087742,1897,1,4.85716774547e-05
1087744,1897,2,5.1888840465e-05
1087745,1897,1,5.44541123446e-05
1087746,1897,1,5.77493268724e-05
1087762,1906,0,3.90254471803e-05
1087764,1844,1,0.000260169647867
1087767,1898,14,0.00010217101927
1087768,1898,32,0.000163681147336
1087769,1898,0,3.90254471803e-05
1087770,1869,1,0.000415359085264
1087773,1888,1,4.14422093878e-05
1087836,1882,3,7.96595064926e-05
1087837,1883,1,5.07713371073e-05
1087838,1883,0,3.90254471803e-05
1087839,1883,7,0.00012043438603
1087840,1892,5,8.44366692333e-05
1087841,1907,1,4.19498962678e-05
1087842,1907,0,3.90254471803e-05
1087843,1894,0,3.90254471803e-05
1087844,1894,0,3.90254471803e-05
1087845,1894,0,3.90254471803e-05
1087846,1894,1,4.13948493305e-05
1087865,1907,0,3.90254471803e-05
1087866,1894,1,4.53339032716e-05
1087867,1894,4,5.98924284554e-05
1087868,1903,1,6.77096914328e-05
1087911,1909,0,3.90254471803e-05
1087912,1909,0,3.90254471803e-05
1087970,1890,1,0.000260169647867
1087976,1820,0,3.90254471803e-05
1088050,1903,2,5.83755647405e-05
1088052,1903,0,3.90254471803e-05
1093774,1890,1,0.000260169647867
1100482,1896,0,3.90254471803e-05
1100531,1897,0,3.90254471803e-05
1100582,1896,4,0.000128179759786
1100676,1896,1,4.36095102649e-05
1100681,1897,0,3.90254471803e-05
1100694,1896,1,9.3501845089e-05
1100709,1896,1,4.95561234035e-05
1100718,1896,1,6.78703429222e-05
1100755,1896,4,6.59039609414e-05
1100802,1897,1,5.26170448762e-05
1100810,1896,1,4.31441231498e-05
1100812,1896,3,5.35151405169e-05
1101065,1818,0,3.90254471803e-05
1101108,1818,0,3.90254471803e-05
1101120,1818,1,0.000260169647867
1101123,1818,1,0.00011302869242
1101126,1818,0,3.90254471803e-05
1101162,1818,1,8.70626414587e-05
1101164,1818,0,3.90254471803e-05
1119427,1810,1,0.000260169647867
1119486,1810,1,0.000260169647867
1143192,1810,1,0.000200400944979
1146313,1893,0,3.90254471803e-05
1146799,1893,2,6.16448573996e-05
1158864,1856,0,3.90254471803e-05
1203184,1881,1,4.29258343787e-05
1205319,1881,2,6.95100338218e-05
1206937,1895,2,7.30771739677e-05
1208060,1902,1,4.70186110606e-05
1208088,1902,1,7.21970772835e-05
1211305,1889,1,0.000260169647867
1213431,1890,1,0.00011302869242
1213453,1890,1,4.95561234035e-05
1215783,1890,1,0.000260169647867
1215808,1890,4,7.81120789587e-05
1215914,1890,1,4.82636741604e-05
1216059,1891,3,7.26003594921e-05
1232426,1901,1,7.63020298735e-05
1241702,1901,2,7.45267855061e-05
1242226,1901,3,0.000121561362936
1246952,1879,2,0.000662098347826
1270516,1887,1,4.82400936051e-05
1279722,1906,1,4.19095978414e-05
1279939,1906,2,4.50147692823e-05
1281030,1893,0,3.90254471803e-05
1286196,1910,1,0.000260169647867
1286951,1910,0,3.90254471803e-05
1286993,1910,1,0.000260169647867
1288178,1900,1,7.68224276127e-05
1289184,1904,1,5.03498343137e-05
1289431,1904,0,3.90254471803e-05
1299599,1792,0,3.90254471803e-05
1299604,1796,0,3.90254471803e-05
1299616,1793,0,3.90254471803e-05
1299622,1796,0,3.90254471803e-05
1299628,1792,0,3.90254471803e-05
1299643,1792,0,3.90254471803e-05
1300133,1796,0,3.90254471803e-05
1300139,1798,0,3.90254471803e-05
1300161,1793,1,0.000260169647867
1300165,1793,0,3.90254471803e-05
1303430,1793,1,0.000260169647867
1303451,1795,0,3.90254471803e-05
1303460,1794,1,0.000260169647867
1303466,1795,0,3.90254471803e-05
1303472,1791,0,3.90254471803e-05
1303477,1795,0,3.90254471803e-05
1303496,1792,1,0.000260169647867
1303501,1793,0,3.90254471803e-05
1303508,1790,0,3.90254471803e-05
1303513,1791,0,3.90254471803e-05
1303519,1785,0,3.90254471803e-05
1303525,1795,0,3.90254471803e-05
1303532,1795,0,3.90254471803e-05
1303537,1793,0,3.90254471803e-05
1303592,1792,0,3.90254471803e-05
1303599,1795,0,3.90254471803e-05
1303605,1796,0,3.90254471803e-05
1303625,1797,0,3.90254471803e-05
1303682,1791,0,3.90254471803e-05
1303689,1795,0,3.90254471803e-05
1303693,1797,0,3.90254471803e-05
1303706,1790,0,3.90254471803e-05
1303711,1782,0,3.90254471803e-05
1303716,1793,0,3.90254471803e-05
1303722,1793,0,3.90254471803e-05
1303728,1790,0,3.90254471803e-05
1304342,1782,0,3.90254471803e-05
1304346,1792,0,3.90254471803e-05
1304349,1792,1,0.000260169647867
1306761,1793,1,0.000260169647867
1318977,1847,2,0.000106813136693
1319968,1898,1,7.21970772835e-05
1320090,1898,1,4.54665404042e-05
1320738,1862,0,3.90254471803e-05
1327335,1836,0,3.90254471803e-05
1327338,1836,0,3.90254471803e-05
1370564,1850,6,9.39817200032e-05
1379538,1872,3,6.53798613583e-05
1383887,1846,1,0.000260169647867
1390946,1814,1,8.70626414588e-05
1394575,1814,0,3.90254471803e-05
1394601,1814,0,3.90254471803e-05
1394610,1814,1,0.000260169647867
1394820,1877,2,7.66194727346e-05
1395207,1887,2,0.000274611815561
1395425,1887,0,3.90254471803e-05
1434110,1865,5,6.54020170986e-05
1434315,1890,4,5.97724442253e-05
1434357,1890,1,4.93076755223e-05
1435307,1909,0,3.90254471803e-05
1435431,1910,0,3.90254471803e-05
1435508,1910,0,3.90254471803e-05
1435689,1909,1,5.56112622319e-05
1436323,1903,1,4.83189940071e-05
1436643,1903,5,6.06329349328e-05
1443328,1887,2,5.52845285761e-05
1443494,1887,1,5.33046642207e-05
1446230,1897,1,4.70186110606e-05
1446332,1897,6,6.50462422354e-05
1446374,1897,1,0.000260169647867
1446533,1897,4,5.07486785116e-05
1446580,1897,1,0.000370265529743
1446893,1897,2,4.77929672342e-05
1447601,1906,2,4.98700185602e-05
1447610,1906,2,4.99322189829e-05
1447613,1906,1,5.44541123446e-05
1447641,1906,3,6.4369720929e-05
1451107,1900,0,3.90254471803e-05
1468823,1882,1,0.000260169647867
1475106,1882,0,3.90254471803e-05
1475741,1882,3,8.33953563188e-05
1487387,1876,1,8.70626414588e-05
1489884,1876,0,3.90254471803e-05
1498429,1883,4,7.49591982985e-05
1522352,1905,1,4.54665404042e-05
1528394,1867,12,0.000818013073184
1577306,1867,1,4.16336134461e-05
1611707,1832,1,0.000260169647867
1614072,1832,1,0.000260169647867
1615134,1832,1,0.000260169647867
1619945,1832,0,3.90254471803e-05
1632029,1905,10,0.000159933052179
1632120,1905,5,8.86820187855e-05
1639543,1904,1,0.000260169647867
1639693,1904,2,5.93799279853e-05
1641560,1906,1,5.33720317953e-05
1642680,1906,0,3.90254471803e-05
1655414,1816,2,8.04899848093e-05
1688164,1854,1,4.20932913682e-05
1691871,1824,0,3.90254471803e-05
1692729,1902,1,5.44541123446e-05
1694361,1896,2,0.000273437762657
1694451,1896,1,6.78703429222e-05
1694652,1896,1,4.37361757102e-05
1694681,1896,1,4.36648360059e-05
1694809,1896,1,4.95561234035e-05
1695921,1884,1,0.000260169647867
1744840,1884,1,4.82400936051e-05
1744847,1884,0,3.90254471803e-05
1744922,1884,10,0.000123856011503
1745828,1897,1,5.44541123446e-05
1746687,1897,7,0.000114055904713
1752243,1899,1,4.92156003244e-05
1752435,1898,1,4.73183547061e-05
1753220,1899,1,5.44541123446e-05
1753571,1899,1,7.84072911382e-05
1765367,1851,1,0.000260169647867
1765468,1851,1,0.000260169647867
1783525,1851,1,0.000260169647867
1793945,1883,2,0.000100805466164
1794340,1883,1,4.1513872238e-05
1852339,1883,1,5.07116800095e-05
1852696,1883,2,0.000133482269431
1853063,1871,6,0.000144378344097
1959986,1884,1,8.70626414588e-05
1960524,1884,3,0.000234936507261
1960785,1884,2,8.55456414977e-05
1972008,1908,1,4.08530852025e-05
2009288,1892,3,5.8162926086e-05
2009395,1893,8,8.97818289639e-05
2009825,1893,1,4.54614482018e-05
2010319,1893,1,0.000260169647867
2011405,1845,1,0.000314704655497
2012204,1845,3,0.000324328480373
2012233,1845,1,0.000260169647867
2095284,1796,0,3.90254471803e-05
2096950,1796,0,3.90254471803e-05
2098227,1796,0,3.90254471803e-05
2158753,1798,0,3.90254471803e-05
2160646,1794,0,3.90254471803e-05
2213364,1799,0,3.90254471803e-05
2215103,1796,0,3.90254471803e-05
