CLid,indegree,l_pagerank,age
100000,1,-11.2317401611,68
100001,1,-11.037015517,68
100002,7,-10.9514852725,68
100003,13,-10.4441013064,68
100004,4,-10.7585524073,68
100005,9,-10.3583085753,68
100006,5,-10.0950057732,68
100007,21,-9.75588149071,68
100008,0,-11.326285281,68
100009,21,-9.8343090092,68
100010,51,-9.15826300734,68
100011,33,-9.09776802223,68
100012,1,-11.2772352644,68
100013,4,-10.7652725726,68
100014,4,-10.9269618374,68
100015,9,-10.0881170735,68
100016,2,-11.005715459,68
100017,0,-11.326285281,68
100018,36,-8.4887782758,68
100019,0,-11.326285281,68
100020,24,-9.56611751906,68
100021,3,-10.9071405063,68
100022,10,-9.75341016152,68
100023,24,-8.80380311365,68
100024,3,-10.8359873896,68
100025,18,-9.91126949659,68
100026,3,-10.9022829402,68
100027,1,-11.2914813588,68
100028,9,-10.3247379562,68
100029,1,-10.8857264894,68
100030,5,-10.6039258131,68
100031,1,-11.259319153,68
100032,4,-10.6759772184,68
100033,2,-10.9873267274,68
100034,24,-9.93647818648,68
100035,5,-10.7475207779,68
100036,4,-10.9752296704,68
100037,11,-10.08730737,68
100038,3,-10.7663786031,68
100039,18,-10.3024578058,68
100040,18,-10.2814780898,68
100041,0,-11.326285281,68
100042,15,-10.1553191764,68
100043,1,-10.9841956301,68
100044,8,-10.3185892065,68
100045,1,-11.194386411,68
100046,2,-11.1239962177,68
100047,0,-11.326285281,68
100048,1,-11.0977564473,68
100049,1,-11.2428322751,68
100050,1,-10.9803232963,68
100051,4,-10.7335044564,68
100052,20,-9.8301611886,68
100053,14,-10.3846615758,68
100054,9,-10.330988972,68
100055,21,-9.30333491319,68
100056,1,-11.1139290374,68
100057,0,-11.326285281,68
100058,2,-11.1335644247,68
100059,11,-9.65203725648,68
100060,1,-11.2518083526,68
100061,46,-9.30431379853,68
100062,6,-10.5695633387,68
100063,31,-9.54551031563,68
100064,26,-9.13052590486,68
100065,3,-11.0795949208,68
100066,5,-10.687146431,68
100067,3,-11.1480261013,68
100068,5,-10.7574457602,68
100069,0,-11.326285281,68
100070,11,-10.4885635742,68
100071,7,-9.94690743647,68
100072,18,-9.95085731802,68
100073,4,-10.1097006047,68
100074,6,-10.4528427868,68
100075,8,-10.3096666368,68
100076,16,-10.487525308,68
100077,20,-9.73425725528,68
100078,9,-10.5513611362,68
100079,37,-9.86762793013,68
100080,0,-11.326285281,68
100081,9,-10.3168276111,67
100082,1,-11.1999386035,67
100083,17,-10.208587443,67
100084,6,-9.74213600465,67
100085,1,-11.295573843,67
100086,6,-10.5810940916,67
100087,2,-11.1868730222,67
100088,15,-9.66705375443,67
100089,6,-10.562999062,67
100090,3,-10.9527801213,67
100091,6,-9.79411703365,67
100092,2,-10.5646841726,67
100093,11,-10.4089418828,67
100094,21,-10.3306200288,67
100095,0,-11.326285281,67
100096,17,-9.84162098672,67
100097,2,-11.203363938,67
100098,0,-11.326285281,67
100099,9,-10.4347032156,67
100100,5,-10.6951259148,67
100101,2,-11.2606002049,67
100102,1,-11.231657778,67
100103,14,-9.32682669837,67
100104,0,-11.326285281,67
100105,14,-10.0010732786,67
100106,1,-11.2411936931,67
100107,0,-11.326285281,67
100108,1,-11.2849289858,67
100109,0,-11.326285281,67
100110,2,-10.9865775435,68
100111,0,-11.326285281,68
100112,0,-11.326285281,68
100113,0,-11.326285281,68
100115,1,-11.2119716012,67
100116,0,-11.326285281,67
100117,0,-11.326285281,67
